%eval_id interface log__t_efold_shallow log__t_efold_soil log__t_efold_karst f_exfiltration_shallow f_exfiltration_soil PDD_melt_factor log__routing_K neg_kge        
1        I1         1.230764125    1.47684756     3.920708269    0.8661838949   0.7468992355   2.596206367    0.5027401509   2.0521486      
2        I1         1.841418893    2.013724513    3.653744343    0.9711978667   0.2098740821   8.194513123    -0.3217366551  1.598713701    
3        I1         0.3540151082   1.783104062    2.520144982    0.08187029442  0.7724180491   4.846555464    -0.6858944829  1.515984036    
4        I1         1.682335925    2.186006007    3.824234156    0.8532681676   0.1985287257   6.59679333     0.1287015745   1.497079424    
5        I1         1.117992494    2.689725624    4.153250314    0.8179985224   0.4484366104   9.496401716    -0.1010845505  2.224627299    
6        I1         0.519434217    2.578719527    4.43791119     0.9264071911   0.8255057529   6.266903658    -0.3926710071  2.928928198    
7        I1         0.8563423004   1.290716929    2.681218689    0.3419970723   0.812421547    4.126543821    0.2983451987   2.04148936     
8        I1         0.6158441461   2.273852932    4.08083248     0.5112211774   0.05394717492  8.654259139    -0.6204430125  2.282135373    
9        I1         0.8192857502   1.823230549    2.549313107    0.7262102806   0.6908226698   9.929435802    -0.4066209503  2.455894301    
10       I1         1.192182611    1.51774427     4.334839097    0.0903694521   0.8604976298   6.409110143    -0.4136285839  1.581623219    
11       I1         1.266159008    2.51442489     3.732907637    0.2997027545   0.8500911906   9.36699869     0.05186226507  0.7325553123   
12       I1         1.836356129    2.29651723     3.474362922    0.2626567102   0.7807575394   4.60317251     -0.1923463891  0.53751359     
13       I1         1.026046435    2.037781874    4.177968403    0.1646286199   0.6631821369   7.407846489    -0.9702340149  0.3568937407   
14       I1         0.5874682381   1.322749343    4.180923743    0.1752551528   0.5185026592   2.025216672    -0.9188240527  1.569710631    
15       I1         0.8352697815   1.648557062    3.609136604    0.333323562    0.9713532722   9.218734886    -0.798253659   2.0815948      
16       I1         0.6401521459   2.208117891    3.898699169    0.1241161824   0.4105007558   0.803349096    -0.800781907   0.2586196274   
17       I1         0.5369019975   2.288418569    2.605669016    0.05814758281  0.9023741      7.952141837    -0.3050904552  0.8919871341   
18       I1         1.488799289    1.448917371    4.460416691    0.3091048798   0.813832477    5.955674479    0.04090035663  1.504254145    
19       I1         1.64120002     1.487467654    4.068233866    0.8970061838   0.9142553178   7.516776562    -0.4298020096  1.846032568    
20       I1         1.040563043    2.58541142     3.717211402    0.4583877322   0.2317561964   9.849586199    0.7031236594   0.802132261    
21       I1         1.23714383     2.106105563    2.797400905    0.7782062663   0.685109752    7.899259404    -0.8717233211  2.11198095     
22       I1         0.6558687647   1.189323103    3.510254339    0.5852573008   0.3509214385   4.529884387    -0.6343155397  2.478044792    
23       I1         1.674256652    2.226407977    3.395581343    0.2011009297   0.7659888071   5.08417707     -0.4907911177  0.5605161835   
24       I1         1.79550917     2.161198875    2.782108588    0.01761344909  0.07391524674  4.124835472    -0.09246244173 0.4410702392   
25       I1         0.7805910733   1.840114       2.815005329    0.7351553244   0.06031807634  5.581352577    0.07405852325  2.347957993    
26       I1         1.822802265    1.875005895    3.287586518    0.6478459703   0.3533398499   6.763594913    -0.2820320178  0.9857492231   
27       I1         1.092924469    1.149679854    2.666142613    0.8096779854   0.4780046208   8.415995466    -0.2137783857  2.339006608    
28       I1         1.381827444    1.605384842    4.360787384    0.4085227492   0.8329797208   7.331916469    -0.2032615972  1.660858113    
29       I1         0.7579706501   1.116056146    2.934513602    0.6010773471   0.2239289244   7.652579117    0.4366410443   2.007925621    
30       I1         1.683075573    1.346035666    2.915172285    0.5699990112   0.842247825    1.957400108    -0.8101657834  1.641178359    
31       I1         1.420646476    2.204138346    2.581990262    0.8873828238   0.6796230876   2.999869278    -0.1952170046  2.00744162     
32       I1         0.5420655705   1.328667274    3.735029668    0.4895793974   0.7289337692   5.787673809    -0.3697078019  2.461452938    
33       I1         0.9537959759   1.40414358     2.789409178    0.1423160262   0.7991067335   8.716605469    -0.2680391385  1.789171502    
34       I1         0.7856290043   1.109985789    3.178457219    0.128473036    0.5846141512   8.370357904    -0.2486592133  1.691748827    
35       I1         1.908649771    1.283147972    3.839459706    0.5006140939   0.5694610568   4.063302564    -0.4455003412  0.8124562394   
36       I1         1.05919981     1.181177565    4.371764867    0.4844471541   0.1849948652   2.891081887    -0.5079223223  1.535957743    
37       I1         1.870099175    2.221495105    2.830048849    0.1493129      0.5760678983   3.940408519    0.5282662835   0.5751442059   
38       I1         1.171461564    1.276145037    2.757391787    0.4439054183   0.09677803858  0.5941868708   -0.9831982916  1.323241503    
39       I1         1.659968719    1.846727143    4.222988627    0.3745234011   0.9190928976   7.868435783    0.2499349138   1.272466866    
40       I1         1.527668383    2.530528148    4.218569711    0.06244660579  0.4965381045   5.451772094    -0.4596400977  0.4919278408   
41       I1         1.244751552    2.016681234    3.409406389    0.8700867974   0.9325752491   2.183137175    -0.7616279376  2.254895535    
42       I1         1.51752088     2.133923259    3.251077035    0.1569038732   0.1739787854   7.822289279    0.5770118789   0.4110966643   
43       I1         1.868473146    1.705854979    4.145470396    0.4496035419   0.02848347457  8.62880349     -0.2554514209  0.3345556491   
44       I1         0.5702487049   1.855932989    2.725188637    0.4156345467   0.07942275114  1.20806615     -0.05415566379 1.770035201    
45       I1         0.4479365181   2.215010462    3.304219489    0.2366521052   0.8223547415   9.174741589    0.4696296203   1.233745726    
46       I1         1.690483718    1.901955297    2.719834169    0.6923296241   0.6994658029   1.941395209    0.1872001893   1.421075841    
47       I1         1.177159204    2.030189091    4.135486143    0.1339867501   0.5109124987   3.177402617    -0.8159491423  0.2553017217   
48       I1         0.8313026433   2.241502952    3.794201365    0.7426416074   0.6360603293   3.831712223    0.2347398081   2.268258715    
