%eval_id interface log__t_efold_shallow log__t_efold_soil f_exfiltration_shallow PDD_melt_factor baseflow_Q     neg_kge        
1        I1         1.340856682    1.063528064    0.6623060668   6.586008373    0.008529497701 1.465130961    
2        I1         0.7724829562   1.189323103    0.5888620509   9.452573645    0.1567403702   0.4790251785   
3        I1         0.3485504418   1.702042258    0.1775178019   9.943839777    0.1114614931   0.5001562557   
4        I1         1.13489634     1.542045094    0.148233208    1.36328288     0.2460711664   0.4007761342   
5        I1         0.7999073836   1.833095461    0.8577942566   4.125893078    0.1148177461   0.6650677556   
6        I1         1.531535246    1.509549826    0.1129324671   8.476879288    0.2398387064   0.5142965405   
7        I1         1.160758497    1.675837711    0.358488549    0.4439024378   0.09556952075  0.5734410816   
8        I1         1.64120002     2.559012186    0.3239003841   1.66206463     0.2967697304   0.7673793481   
9        I1         1.841418893    1.780657403    0.7163051823   8.850027941    0.2547697423   0.5449148475   
10       I1         0.7113794074   1.310918435    0.7543288554   8.582183393    0.2636825673   0.3881300889   
11       I1         1.126024947    1.116056146    0.01532336792  0.9118954856   0.2496446182   0.3848649755   
12       I1         1.257981942    1.887784017    0.651422557    1.734279805    0.1424605559   0.3889345552   
13       I1         0.6296351808   2.221495105    0.5998100814   0.1129382584   0.1304225711   0.5316555031   
14       I1         1.171461564    2.61158016     0.5753347279   2.119467852    0.07906248596  0.5567524806   
15       I1         1.751218561    1.1350667      0.8022584965   4.73291236     0.009403201275 1.252252887    
16       I1         0.3677524232   1.394356037    0.1690601992   6.12550125     0.04224178046  0.954736471    
17       I1         1.636678545    2.06095185     0.9795937024   8.344831779    0.2132383706   0.3521963962   
18       I1         1.151278613    2.391765973    0.4367642042   8.075067109    0.04019701204  0.7507970628   
19       I1         0.5874682381   1.717746796    0.8883672173   9.197663091    0.07300365684  1.010596772    
20       I1         0.9154537974   1.222511354    0.6295473542   2.279544782    0.2934124662   0.3240504521   
21       I1         1.434442838    2.103964652    0.6976976822   3.858926126    0.2984243154   0.4337280536   
22       I1         0.551983061    1.090962769    0.6588747364   5.495130571    0.1173012391   0.7099459368   
23       I1         1.665250111    1.328667274    0.5148475791   7.720914576    0.1843426921   0.4174221681   
24       I1         1.550696324    1.231727704    0.246853168    1.81257532     0.2051679375   0.4151502756   
25       I1         1.422242053    1.926213285    0.1381446722   2.891925863    0.1312635631   0.54673996     
26       I1         0.4433185135   1.816862121    0.2920256757   3.100769735    0.06788454992  0.6825310323   
27       I1         0.6158441461   2.339796042    0.4236479843   4.979091153    0.0279512584   0.9614733787   
28       I1         1.799934239    1.157178291    0.3154184469   4.698557647    0.1154613196   0.5438145226   
29       I1         0.9481382881   1.74754868     0.8684441726   2.715494276    0.1095804575   0.6298883533   
30       I1         0.5094663364   1.840114       0.3936567825   6.485592167    0.2806497099   0.3240516348   
31       I1         0.8884118105   2.419043855    0.8322045175   5.197905472    0.279321055    0.3289566441   
32       I1         0.869678216    2.664262274    0.6365670813   4.774681279    0.007882753648 1.416369906    
33       I1         1.962053355    2.543200157    0.07309836296  0.3991321436   0.2233358189   1.016837158    
34       I1         1.969316018    1.285348205    0.5415854781   1.697965596    0.2078406485   0.5650306864   
35       I1         1.645442561    2.673454282    0.7444982186   9.409478913    0.1382807306   0.4214636297   
36       I1         1.026046435    1.487467654    0.0410973      9.850765605    0.07790108659  0.6905208307   
37       I1         1.836356129    2.653075503    0.6392585031   9.03470731     0.1375762359   0.526604811    
38       I1         0.6401521459   2.241502952    0.03416342229  9.631140682    0.2182156125   0.6672413472   
39       I1         1.860860465    1.686736869    0.892462806    0.7974237599   0.2486800229   0.505478892    
40       I1         0.4552595495   1.010688332    0.06656576261  6.151271188    0.1490032122   0.4946737697   
41       I1         0.3540151082   1.963526746    0.9848929533   7.737792291    0.2012569475   0.7227130197   
42       I1         1.326528753    2.564005466    0.4468695913   4.678081359    0.08744843179  0.4919661457   
43       I1         0.3237088733   2.607205399    0.2229116651   0.3255666208   0.1286597887   0.4507889807   
44       I1         0.6021373378   2.347031718    0.03702500014  3.806226184    0.04302592529  0.6997748195   
45       I1         0.9870801418   2.095049203    0.5522626128   0.860902123    0.242292224    0.2837170957   
46       I1         0.3830346702   2.273852932    0.2759104603   6.461216928    0.272272138    0.4237570043   
47       I1         1.420646476    2.215010462    0.4146187188   4.540892924    0.2473098479   0.5086200846   
48       I1         1.771193562    1.43332527     0.4040675495   8.936535391    0.04583502626  0.8206290716   
49       I1         1.474533859    2.444789642    0.7657031035   5.551266989    0.1255371736   0.4219639249   
50       I1         0.9445149779   2.522935073    0.1339379517   4.385849245    0.06548844624  0.5945000903   
51       I1         1.956310536    1.042055073    0.5030314117   9.060572673    0.1189552825   0.5388244177   
52       I1         1.622287052    1.31261729     0.816280494    8.695301592    0.06965088724  0.6884733712   
53       I1         1.527668383    2.25008588     0.7106140872   9.994476062    0.07856006412  0.5932408688   
54       I1         0.5702487049   2.030189091    0.4627937077   8.963357097    0.02125186259  1.173705909    
55       I1         0.7357388406   1.408394001    0.1820892142   6.360435239    0.1954102839   0.3169513835   
56       I1         1.335763744    1.661443372    0.08409511252  5.89654224     0.05671088901  0.7747057417   
57       I1         1.361125029    2.694562258    0.7768227551   6.668392936    0.208415103    0.3093558133   
58       I1         0.39845222     1.029610094    0.3106671615   8.262434052    0.01061916578  1.635644569    
59       I1         1.953548078    2.382780579    0.2583550677   9.217650397    0.07187808083  0.7552444064   
60       I1         0.9177023502   2.186006007    0.7887137476   7.989055411    0.2000652321   0.3476623635   
61       I1         0.3351591749   2.044425839    0.4607081312   9.336760321    0.1540588299   0.4591275048   
62       I1         1.024984263    2.133923259    0.3211122996   8.978371301    0.2915158293   0.4980692411   
63       I1         1.659968719    1.535255594    0.7011329494   9.894516746    0.04854463637  0.8027632641   
64       I1         1.192182611    2.529878567    0.1203424319   2.030509392    0.2646602439   0.7818175189   
65       I1         0.4479365181   2.153882841    0.375585762    3.453847976    0.1705684945   0.3274059418   
66       I1         0.9657950803   2.327072205    0.6889745238   6.314711872    0.05976453927  0.7863424169   
67       I1         0.8066862593   1.867335465    0.7479797478   1.014452211    0.05543761623  0.9449418975   
68       I1         0.4921449078   1.138117183    0.1263474312   7.173850679    0.2867388069   0.3331156526   
