%eval_id interface log__t_efold_shallow log__t_efold_soil f_exfiltration_shallow PDD_melt_factor log__fdd_threshold snow_insulation_k baseflow_Q     neg_kge        
1        I1         1.230764125    1.47684756     0.7061470519   8.749204652    2.255813986    0.03782130859  0.2254110226   0.3106165362   
2        I1         1.841418893    2.013724513    0.5753347279   9.810060082    0.6118594352   0.1226441382   0.1017395017   0.5844459104   
3        I1         0.3540151082   1.783104062    0.01987104104  0.8260366477   2.333932804    0.07191750703  0.04711582756  0.8365225348   
4        I1         1.682335925    2.186006007    0.6588747364   8.618729449    0.5771287521   0.09843626258  0.1693052362   0.4361573456   
5        I1         1.117992494    2.689725624    0.8200926539   8.262434052    1.342152889    0.142369723    0.1348373174   0.4733512989   
6        I1         0.519434217    2.578719527    0.959576483    9.357582849    2.496446182    0.09343793421  0.09109934894  0.9867353576   
7        I1         0.8563423004   1.290716929    0.09879715739  3.453847976    2.456392491    0.06100823972  0.1947517798   0.3540236085   
8        I1         0.6158441461   2.273852932    0.784607915    5.163356792    0.1345321681   0.129609987    0.05693354812  1.099432966    
9        I1         0.8192857502   1.823230549    0.03416342229  7.335185488    2.08415103     0.1489308455   0.08900685746  0.6581195641   
10       I1         1.192182611    1.51774427     0.9090711576   0.9118954856   2.603564173    0.09559257793  0.08795571241  0.690520491    
11       I1         1.266159008    2.51442489     0.6141247422   3.026589051    2.571707726    0.1404090711   0.1577793398   0.3402287032   
12       I1         1.836356129    2.29651723     0.4874378318   2.652348399    2.359461855    0.06822988652  0.1211480416   0.5842871417   
13       I1         1.026046435    2.037781874    0.8322045175   1.66206463     1.999537154    0.1107249468   0.004464897761 1.710159954    
14       I1         0.5874682381   1.322749343    0.833652634    1.769414299    1.556640794    0.02916994958  0.0121763921   1.771869176    
15       I1         0.8352697815   1.648557062    0.5534769359   3.366227821    2.94291818     0.1381626498   0.03026195115  1.087376081    
16       I1         0.6401521459   2.208117891    0.6953625928   1.252806333    1.226022722    0.01065680448  0.02988271394  1.336488406    
17       I1         0.5369019975   2.288418569    0.06177781765  0.5863888467   2.731757449    0.118971846    0.1042364317   0.5809991065   
18       I1         1.488799289    1.448917371    0.9706041785   3.121569704    2.460711664    0.08872234059  0.1561350535   0.3780206929   
19       I1         1.64120002     1.487467654    0.7784345942   9.060572673    2.768128524    0.1123754025   0.08552969856  0.6059698228   
20       I1         1.040563043    2.58541142     0.6064335867   4.629631173    0.6788454992   0.147721003    0.2554685489   0.3121460886   
21       I1         1.23714383     2.106105563    0.1557264435   7.860451058    2.066662506    0.118170597    0.01924150184  1.012637561    
22       I1         0.6558687647   1.189323103    0.5050246263   5.911272733    1.043637057    0.0671194604   0.05485266905  1.06211093     
23       I1         1.674256652    2.226407977    0.4488348579   2.030509392    2.31425145     0.0755178344   0.07638133234  0.5969895295   
24       I1         1.79550917     2.161198875    0.148233208    0.1769113734   0.1956589186   0.06098235564  0.1361306337   0.7150272635   
25       I1         0.7805910733   1.840114       0.1643526112   7.425548685    0.1540349276   0.08305079662  0.1611087785   0.4803921788   
26       I1         1.822802265    1.875005895    0.3959173938   6.543546026    1.051040357    0.1009635593   0.1076951973   0.6077571515   
27       I1         1.092924469    1.149679854    0.09140988043  8.178379648    1.432667207    0.1259999313   0.1179332422   0.581936614    
28       I1         1.381827444    1.605384842    0.9217858182   4.125893078    2.519325676    0.109574492    0.1195107604   0.489726261    
29       I1         0.7579706501   1.116056146    0.2229116651   6.071087486    0.6548844624   0.1144330169   0.2154961566   0.3924104178   
30       I1         1.683075573    1.346035666    0.2134344194   5.757132868    2.547697423    0.02814242587  0.02847513248  0.9931025684   
31       I1         1.420646476    2.204138346    0.05017522815  8.963357097    2.049866595    0.04393741331  0.1207174493   0.6726381307   
32       I1         0.5420655705   1.328667274    0.6151645374   4.944730647    2.200817661    0.0861768759   0.09454382972  0.8086542536   
33       I1         0.9537959759   1.40414358     0.1518104971   1.436661897    2.415632858    0.1305546283   0.1097941292   0.5450590025   
34       I1         0.7856290043   1.109985789    0.3424440375   1.296819446    1.759022912    0.1253084531   0.112701118    0.6300552131   
35       I1         1.908649771    1.283147972    0.6663352558   5.056203602    1.712635888    0.06005003885  0.08317494882  0.607938221    
36       I1         1.05919981     1.181177565    0.9271647848   4.892884515    0.535698567    0.04228911951  0.07381165165  0.8110059818   
37       I1         1.870099175    2.221495105    0.1717239359   1.507344602    1.732860913    0.05818800786  0.2292399425   0.8230986513   
