%eval_id interface log__t_efold_shallow log__t_efold_soil f_exfiltration_shallow PDD_melt_factor log__H0_pdm_shallow log__H0_pdm_soil f_tile_shallow log__tau_tile  neg_kge        
1        I1         1.031569625    1.972364014    0.7043578125   0.8260366477   1.259666949    1.216473773    0.5100379283   0.7543774215   2.199741911    
2        I1         1.738002296    2.153882841    0.5522626128   7.501175422    2.809632667    1.908422685    0.0224053819   0.08949510916  1.428307079    
3        I1         1.583172998    1.327864414    0.1464908311   4.880365191    1.201612547    2.068530848    0.05257411354  0.1569010966   2.206627666    
4        I1         1.973053607    1.712391478    0.3959173938   3.272163128    1.099904066    2.285477243    0.09396793719  1.142612793    2.301258875    
5        I1         1.177159204    1.702042258    0.2668311274   2.60429237     2.07809845     2.057109656    0.8675486127   0.808318813    1.810791833    
6        I1         1.389904313    2.030189091    0.03702500014  6.668392936    1.498037827    2.258630573    0.632998671    0.3620237796   1.970127497    
7        I1         1.446335508    1.919140271    0.3355167219   3.725422793    3.313795598    1.093790459    0.1210158326   0.3821677228   1.648280798    
8        I1         0.9481382881   1.975972814    0.2035802409   7.373662739    2.093863026    3.278132195    0.8626567436   0.4075602521   1.996201238    
9        I1         1.459552999    1.899072277    0.6190188693   3.782430276    3.462008224    1.01886818     0.9062026501   0.6735804354   1.708243052    
10       I1         0.3237088733   2.081967787    0.4518221431   3.673327095    2.133473607    2.403248305    0.6950025766   0.1658344942   2.314974306    
11       I1         1.160758497    1.914040856    0.2826624194   3.858926126    1.071079148    2.992503001    0.8840363274   0.1472528473   2.304674477    
12       I1         1.901462023    1.887784017    0.651422557    2.158628529    2.000992086    1.942351572    0.4966478444   0.5524471734   1.67722658     
13       I1         1.081726666    1.084743497    0.3318330314   8.524852709    2.171681009    2.384179944    0.9617313476   0.4877162281   1.967188047    
14       I1         1.64120002     2.241502952    0.7147995907   5.846640824    2.406040775    1.271998067    0.6426808734   0.7472472408   1.6162557      
15       I1         1.359382799    1.149679854    0.5888620509   3.026589051    2.636519966    2.210613739    0.5288503214   0.5787116802   1.799284032    
16       I1         1.775966423    2.623360368    0.1926842945   5.085836127    1.414761457    3.231156781    0.6262909637   1.039654224    1.950311672    
17       I1         0.6363943388   1.374843451    0.8647982802   4.300063791    1.667654315    1.786842528    0.6644814072   0.8939449242   2.217918373    
18       I1         1.712625696    2.262234132    0.5309114694   8.978371301    1.322212992    3.119360838    0.9708961863   0.7943267911   2.096243051    
19       I1         0.6996487793   1.469167139    0.6701648046   9.508499215    1.944380043    3.372828716    0.09986443879  0.3768034882   2.123289243    
20       I1         0.5212860984   2.339796042    0.9040988944   0.269919655    2.264316737    3.357554766    0.5932693231   0.4951241691   2.35323507     
21       I1         1.527668383    1.254938783    0.08409511252  8.731854044    2.394185757    1.6965122      0.473212606    0.7643862235   1.657772813    
22       I1         1.012847891    1.901955297    0.4874378318   6.624434712    2.989464185    2.531593332    0.5745967987   0.952695914    1.743262663    
23       I1         1.531535246    1.042055073    0.3707704154   5.89654224     1.861005307    2.255551175    0.1979762575   0.1522969327   1.859974177    
24       I1         1.404016156    2.29651723     0.5722285074   5.630395924    1.913170479    1.172720968    0.8590150648   0.927831124    1.772943442    
25       I1         1.771193562    2.382780579    0.2621772818   9.105357257    1.772698782    3.108396524    0.1133523829   0.6471697213   1.641336099    
26       I1         1.365941496    2.016681234    0.3780277471   2.916113654    3.099438063    3.030207859    0.3525477626   0.01709040211  1.563374477    
27       I1         1.244751552    2.470183567    0.6084472201   5.011605948    3.389490057    2.718126595    0.5836862605   0.4096294606   1.749711107    
28       I1         1.832347989    1.618783662    0.9571056477   3.366227821    1.238420689    1.660445048    0.2474461079   0.05655564175  2.239828417    
29       I1         1.420646476    1.840114       0.5854480101   9.581427455    3.060915399    1.523163423    0.5448600008   0.2826321485   1.729486331    
30       I1         1.005887567    1.1350667      0.2380694158   5.219617476    1.303382478    1.899394989    0.9494316193   0.8794902099   2.007487444    
31       I1         1.062583374    2.037781874    0.3102496721   7.071226522    1.75145315     2.907216949    0.6830065531   0.4725452076   1.946316198    
32       I1         0.5369019975   2.056057473    0.2976878525   1.296819446    1.608363807    1.354054919    0.5571615168   0.9087887626   1.96576399     
33       I1         0.7482488826   2.432352504    0.7163051823   3.740235331    1.352014837    2.611958091    0.5152456765   0.3183100019   2.294425533    
34       I1         0.551983061    1.005001595    0.2183917883   4.629631173    2.536189101    1.826290703    0.7111373169   0.5697821667   2.092212691    
35       I1         0.6021373378   1.57146601     0.4627937077   0.860902123    3.409753172    2.826241533    0.2722535168   0.6201383015   1.966181844    
36       I1         0.5625116465   2.024418459    0.6663352558   2.073629794    1.250377748    2.334766198    0.09110517457  0.6656587161   2.285191556    
37       I1         1.79550917     2.444789642    0.1987421265   7.335185488    2.486688177    1.820196833    0.2937226296   0.2274615743   1.339192866    
38       I1         1.51752088     2.572289077    0.6151645374   6.543546026    2.344634375    1.308852356    0.9031805523   1.087629542    1.5918053      
39       I1         0.8239859326   2.180520308    0.9061313741   9.762333124    2.917941484    3.346446586    0.3768996141   0.7081515238   2.129600327    
40       I1         0.4360475337   2.27527896     0.5998100814   8.573507468    2.874956493    2.351457599    0.3850804307   0.3406225426   2.18691886     
41       I1         1.395449208    1.290716929    0.3676463919   2.004962762    2.709732812    2.039853133    0.5041743667   0.001932573416 1.778554955    
42       I1         1.141522265    1.930591487    0.1557264435   4.135522521    1.554041627    2.118657673    0.2545959846   1.062053173    1.740484632    
