%eval_id interface log__t_efold_shallow log__t_efold_soil log__t_efold_karst f_exfiltration_shallow f_exfiltration_soil PDD_melt_factor log__H0_pdm_shallow log__H0_pdm_soil log__fdd_threshold snow_insulation_k f_tile_soil    log__tau_tile  neg_kge        
1        I1         1.574434238    2.288418569    4.105667461    0.3637232882   0.3801969768   1.231381987    2.332507761    3.473491156    0.3103863271   0.05767890021  0.3983317935   1.112661333    0.3866157402   
2        I1         0.7675012623   1.015258679    3.427281611    0.2482968935   0.465508111    5.044471134    1.111029395    2.177712024    0.346218052    0.03710521141  0.5800690266   0.5546934006   2.210458841    
3        I1         0.937441218    2.161198875    2.702744019    0.8873828238   0.3850713039   6.903781316    2.194981328    2.895857416    0.6341572755   0.1472029868   0.6195440022   0.1351302693   1.869501786    
4        I1         0.3734655823   1.186086906    4.135486143    0.8392264346   0.6635464248   0.7839750314   2.982602896    1.862549122    1.076872447    0.07173282166  0.4517761747   0.4627369264   2.402759549    
5        I1         0.9177023502   1.975972814    3.920708269    0.1339867501   0.2682707875   1.957400108    2.837037025    1.252843642    2.614031237    0.1214084563   0.318113909    0.4287696594   1.362769813    
6        I1         1.446335508    2.664262274    2.915172285    0.7102397642   0.08592714136  4.247479126    2.360791691    2.778143438    1.685981404    0.0780507628   0.3806754829   0.8218045743   0.9758881484   
7        I1         1.559430362    1.061946202    3.584868323    0.7558619954   0.4387943063   5.08417707     1.702350809    1.572091987    0.1728613688   0.08492557991  0.03841002418  0.2987330383   1.644477346    
8        I1         1.303370076    2.049813049    2.851202478    0.5353698492   0.136307493    4.894030408    2.065274884    2.684188337    2.503795788    0.07254502729  0.909397407    0.314964723    1.136438911    
9        I1         1.674256652    1.024249216    3.876091411    0.8532681676   0.1117894441   7.751662791    2.218883641    1.752707267    1.00504669     0.02616645316  0.4380698011   0.6885429112   1.181464641    
10       I1         1.182398971    2.538197415    3.253518959    0.7660642874   0.5280954635   4.715888998    1.636511103    1.175135339    2.076542515    0.1251213004   0.6526310805   0.9714150189   1.828760768    
11       I1         1.622287052    1.963526746    2.576428011    0.4223373309   0.2417438303   6.634035164    3.388996575    1.709532016    0.7393197364   0.09242968295  0.7389811265   0.3341978313   0.8697179786   
12       I1         1.046500615    2.318754595    2.555153062    0.5440634302   0.5895334026   8.158161341    1.626046344    2.372001712    2.358554384    0.01615721326  0.5704730257   0.8567651606   1.708194044    
13       I1         1.160758497    1.353113064    3.03283948     0.4476728921   0.8629435835   9.273599008    1.759161241    1.361768094    0.6858213624   0.004240033761 0.7916322851   0.08831018681  1.759135144    
14       I1         1.538629173    2.397986451    4.284302384    0.5227558373   0.7468992355   5.220264853    1.313900634    2.614833702    2.807889658    0.08410782187  0.7438315724   0.4572744249   1.924429079    
15       I1         1.775966423    2.191445607    4.421940351    0.1946010934   0.7659888071   7.899259404    1.422243749    2.860353168    2.922992633    0.1362571873   0.3623437924   0.1001105378   1.769526637    
16       I1         1.870099175    1.010688332    4.180923743    0.3820957175   0.9142553178   0.1747179927   3.265983532    2.559837649    2.756282804    0.08820988665  0.563570166    0.9963729358   0.8517399756   
17       I1         0.5212860984   1.149679854    3.805383155    0.7300191398   0.9267890524   8.08061807     3.411552897    1.619660636    0.3088455682   0.1410971132   0.0312338462   0.2037311907   2.239643012    
18       I1         1.310439953    1.005001595    3.794201365    0.768180211    0.5760678983   8.751343945    2.254161223    2.014075479    0.5348479728   0.07990882004  0.8670302222   0.2940092692   1.467827622    
19       I1         1.969316018    1.303784423    2.996022772    0.7909367982   0.9527122088   7.652579117    2.536759611    2.030857783    2.330326683    0.1275981833   0.4091995487   0.1320208587   0.9166788058   
20       I1         0.866175135    1.382261558    3.903464658    0.4439054183   0.2052308283   7.990311883    2.940504265    3.384256645    1.802609273    0.129995887    0.7117142491   0.8381916018   1.289055076    
21       I1         1.026046435    2.306006852    4.077979364    0.4631838113   0.7855111937   5.787673809    1.184937914    2.186886715    2.987024659    0.0958065265   0.5647032707   0.003763401734 2.011709134    
22       I1         1.79550917     2.6877406      3.639907075    0.2689075142   0.6121861275   0.9572361427   1.326716649    1.502462384    0.450421561    0.01875188768  0.2185035031   0.7261740688   2.006677994    
23       I1         0.5420655705   2.103964652    3.998975956    0.6742736568   0.7449829453   8.050056009    2.258941039    1.912816022    2.470229952    0.05190840555  0.1414861611   0.08675774554  1.97242907     
24       I1         1.505239601    2.129963821    4.244486286    0.7643935641   0.7282635288   6.124559585    3.128904574    1.705191541    1.455732553    0.02494057662  0.7825480821   0.4694185475   1.092917988    
25       I1         1.618362611    2.459660638    3.391570594    0.8012678524   0.5329572475   3.302655049    2.393861539    2.52179607     0.9633998653   0.07403162626  0.7015569085   0.624995087    1.012648845    
26       I1         1.811396034    2.267059179    2.925289364    0.7772854328   0.06784710513  5.870925088    2.047124486    1.114278104    2.830932117    0.02442503688  0.9417198656   0.494073817    1.228963543    
27       I1         0.6098356177   1.550618968    3.665054857    0.7740396554   0.9077946181   6.895136135    3.479283269    2.052800766    2.455429204    0.1308392336   0.574308269    0.9157436594   1.980324562    
28       I1         0.4976089969   1.607062876    4.064944398    0.100521532    0.3073840553   5.939641469    1.519098458    1.225224278    2.821344562    0.127227939    0.9443787549   0.8451018042   1.822671984    
29       I1         0.3285586371   2.221495105    3.084757358    0.7860742005   0.8887746462   9.849586199    2.110244726    2.530530063    0.9142431876   0.002437925889 0.8305988256   0.8945169522   2.421421543    
30       I1         0.7482488826   1.40414358     3.717211402    0.6478459703   0.757544596    0.7424392947   3.243481794    3.48587076     2.624843539    0.007066478667 0.5043914338   0.3242320639   1.796071135    
31       I1         0.6558687647   1.840114       3.006847077    0.8742615238   0.8435021733   3.411606954    2.87143989     2.401883743    1.859912751    0.1054369207   0.5178765431   0.3593809626   2.092404394    
32       I1         1.69721588     2.512240563    3.409406389    0.05397155562  0.7594634673   7.331916469    1.037207481    2.389286753    1.396255828    0.1164766765   0.04873912878  0.692452883    2.266064259    
33       I1         1.192182611    1.783104062    3.123302953    0.07736213041  0.3617422335   2.999869278    2.314827831    2.847355335    0.3350078173   0.0801661953   0.4887001888   0.178918675    0.8078295473   
34       I1         1.434442838    1.231727704    4.012869763    0.6318941159   0.8329797208   8.960502068    2.18375314     3.078306968    1.662691566    0.0218276206   0.5976677804   0.2261072134   1.352251303    
35       I1         0.728718011    1.855932989    3.447680515    0.5146411477   0.603556501    7.789316642    2.890978104    2.763348196    1.380947417    0.1465919025   0.2279536292   0.676565623    1.542674935    
36       I1         0.8192857502   1.090187553    2.908180833    0.2089163743   0.836560833    2.631645173    2.787656451    3.053054538    0.513162095    0.04810559809  0.4215890459   0.6665248379   1.636896421    
37       I1         0.4057035626   2.186006007    3.27268924     0.6022610977   0.6438213597   5.567548951    3.40027001     2.996596436    2.606132663    0.1197710798   0.01076259456  0.1235298718   1.723657123    
38       I1         1.665250111    2.522935073    3.469245654    0.4342557839   0.9372722994   9.604909417    1.021002136    3.194220867    0.8735526437   0.06826710387  0.6012892504   0.9882857728   2.272485134    
39       I1         1.583172998    2.555003389    3.461227053    0.8608480364   0.3355639597   8.584118857    3.311063793    1.405590614    2.532783732    0.1325819701   0.2445864514   0.5588946152   0.9954208506   
40       I1         1.531535246    1.754827795    3.961198443    0.282446083    0.6802152624   2.212150905    1.868636931    3.418092523    0.6175020954   0.04605129576  0.7588400182   0.2361322118   1.334231287    
41       I1         0.4433185135   2.25008588     2.955537223    0.7351553244   0.8581902132   6.59679333     1.671585959    1.485167692    2.246623344    0.1192409367   0.5564634849   0.2457535566   2.275530612    
42       I1         1.578140663    2.066444463    3.888104274    0.07083899011  0.714725534    1.447753494    1.794064947    2.196103292    1.729465576    0.1220759204   0.5347269965   0.03946107718  1.221773202    
43       I1         1.764753117    1.597078326    3.21120112     0.9105767505   0.7841465648   6.352420219    2.465765395    1.332235892    0.4140201693   0.1415581721   0.3780327417   0.5323531659   1.051674558    
44       I1         0.551983061    2.106105563    2.85479035     0.6890713407   0.5611679837   0.4714102173   3.205029226    2.359493885    1.115973053    0.05003656804  0.01544124633  0.4134329039   2.002243004    
