%eval_id interface log__t_efold_shallow log__t_efold_soil log__t_efold_karst f_exfiltration_shallow f_exfiltration_soil PDD_melt_factor log__H0_pdm_shallow log__H0_pdm_soil log__fdd_threshold snow_insulation_k f_tile_soil    log__tau_tile  neg_kge        
1        I1         1.574434238    2.288418569    4.105667461    0.3637232882   0.3801969768   1.231381987    2.332507761    3.473491156    0.3103863271   0.05767890021  0.3983317935   1.112661333    1.475017654    
2        I1         0.7675012623   1.015258679    3.427281611    0.2482968935   0.465508111    5.044471134    1.111029395    2.177712024    0.346218052    0.03710521141  0.5800690266   0.5546934006   1.957830591    
3        I1         0.937441218    2.161198875    2.702744019    0.8873828238   0.3850713039   6.903781316    2.194981328    2.895857416    0.6341572755   0.1472029868   0.6195440022   0.1351302693   1.908737872    
4        I1         0.3734655823   1.186086906    4.135486143    0.8392264346   0.6635464248   0.7839750314   2.982602896    1.862549122    1.076872447    0.07173282166  0.4517761747   0.4627369264   2.119941685    
5        I1         0.9177023502   1.975972814    3.920708269    0.1339867501   0.2682707875   1.957400108    2.837037025    1.252843642    2.614031237    0.1214084563   0.318113909    0.4287696594   0.9421004595   
6        I1         1.446335508    2.664262274    2.915172285    0.7102397642   0.08592714136  4.247479126    2.360791691    2.778143438    1.685981404    0.0780507628   0.3806754829   0.8218045743   1.412479908    
7        I1         1.559430362    1.061946202    3.584868323    0.7558619954   0.4387943063   5.08417707     1.702350809    1.572091987    0.1728613688   0.08492557991  0.03841002418  0.2987330383   1.826263658    
8        I1         1.303370076    2.049813049    2.851202478    0.5353698492   0.136307493    4.894030408    2.065274884    2.684188337    2.503795788    0.07254502729  0.909397407    0.314964723    1.677454178    
9        I1         1.674256652    1.024249216    3.876091411    0.8532681676   0.1117894441   7.751662791    2.218883641    1.752707267    1.00504669     0.02616645316  0.4380698011   0.6885429112   1.864923862    
10       I1         1.182398971    2.538197415    3.253518959    0.7660642874   0.5280954635   4.715888998    1.636511103    1.175135339    2.076542515    0.1251213004   0.6526310805   0.9714150189   1.815155386    
11       I1         1.622287052    1.963526746    2.576428011    0.4223373309   0.2417438303   6.634035164    3.388996575    1.709532016    0.7393197364   0.09242968295  0.7389811265   0.3341978313   1.445450855    
12       I1         1.046500615    2.318754595    2.555153062    0.5440634302   0.5895334026   8.158161341    1.626046344    2.372001712    2.358554384    0.01615721326  0.5704730257   0.8567651606   1.750687672    
13       I1         1.160758497    1.353113064    3.03283948     0.4476728921   0.8629435835   9.273599008    1.759161241    1.361768094    0.6858213624   0.004240033761 0.7916322851   0.08831018681  1.793420674    
14       I1         1.538629173    2.397986451    4.284302384    0.5227558373   0.7468992355   5.220264853    1.313900634    2.614833702    2.807889658    0.08410782187  0.7438315724   0.4572744249   2.096531977    
15       I1         1.775966423    2.191445607    4.421940351    0.1946010934   0.7659888071   7.899259404    1.422243749    2.860353168    2.922992633    0.1362571873   0.3623437924   0.1001105378   1.925794492    
16       I1         1.870099175    1.010688332    4.180923743    0.3820957175   0.9142553178   0.1747179927   3.265983532    2.559837649    2.756282804    0.08820988665  0.563570166    0.9963729358   1.58678509     
17       I1         0.5212860984   1.149679854    3.805383155    0.7300191398   0.9267890524   8.08061807     3.411552897    1.619660636    0.3088455682   0.1410971132   0.0312338462   0.2037311907   1.688372173    
18       I1         1.310439953    1.005001595    3.794201365    0.768180211    0.5760678983   8.751343945    2.254161223    2.014075479    0.5348479728   0.07990882004  0.8670302222   0.2940092692   1.816429631    
19       I1         1.969316018    1.303784423    2.996022772    0.7909367982   0.9527122088   7.652579117    2.536759611    2.030857783    2.330326683    0.1275981833   0.4091995487   0.1320208587   1.610317162    
20       I1         0.866175135    1.382261558    3.903464658    0.4439054183   0.2052308283   7.990311883    2.940504265    3.384256645    1.802609273    0.129995887    0.7117142491   0.8381916018   1.593818415    
21       I1         1.026046435    2.306006852    4.077979364    0.4631838113   0.7855111937   5.787673809    1.184937914    2.186886715    2.987024659    0.0958065265   0.5647032707   0.003763401734 1.988015681    
22       I1         1.79550917     2.6877406      3.639907075    0.2689075142   0.6121861275   0.9572361427   1.326716649    1.502462384    0.450421561    0.01875188768  0.2185035031   0.7261740688   2.026009491    
23       I1         0.5420655705   2.103964652    3.998975956    0.6742736568   0.7449829453   8.050056009    2.258941039    1.912816022    2.470229952    0.05190840555  0.1414861611   0.08675774554  1.569982033    
24       I1         1.505239601    2.129963821    4.244486286    0.7643935641   0.7282635288   6.124559585    3.128904574    1.705191541    1.455732553    0.02494057662  0.7825480821   0.4694185475   1.768034945    
25       I1         1.618362611    2.459660638    3.391570594    0.8012678524   0.5329572475   3.302655049    2.393861539    2.52179607     0.9633998653   0.07403162626  0.7015569085   0.624995087    1.657345685    
26       I1         1.811396034    2.267059179    2.925289364    0.7772854328   0.06784710513  5.870925088    2.047124486    1.114278104    2.830932117    0.02442503688  0.9417198656   0.494073817    1.801677916    
27       I1         0.6098356177   1.550618968    3.665054857    0.7740396554   0.9077946181   6.895136135    3.479283269    2.052800766    2.455429204    0.1308392336   0.574308269    0.9157436594   1.778150926    
28       I1         0.4976089969   1.607062876    4.064944398    0.100521532    0.3073840553   5.939641469    1.519098458    1.225224278    2.821344562    0.127227939    0.9443787549   0.8451018042   1.993126921    
29       I1         0.3285586371   2.221495105    3.084757358    0.7860742005   0.8887746462   9.849586199    2.110244726    2.530530063    0.9142431876   0.002437925889 0.8305988256   0.8945169522   2.426267097    
30       I1         0.7482488826   1.40414358     3.717211402    0.6478459703   0.757544596    0.7424392947   3.243481794    3.48587076     2.624843539    0.007066478667 0.5043914338   0.3242320639   1.656028021    
31       I1         0.6558687647   1.840114       3.006847077    0.8742615238   0.8435021733   3.411606954    2.87143989     2.401883743    1.859912751    0.1054369207   0.5178765431   0.3593809626   2.152709054    
32       I1         1.69721588     2.512240563    3.409406389    0.05397155562  0.7594634673   7.331916469    1.037207481    2.389286753    1.396255828    0.1164766765   0.04873912878  0.692452883    2.085324829    
33       I1         1.192182611    1.783104062    3.123302953    0.07736213041  0.3617422335   2.999869278    2.314827831    2.847355335    0.3350078173   0.0801661953   0.4887001888   0.178918675    1.047663948    
34       I1         1.434442838    1.231727704    4.012869763    0.6318941159   0.8329797208   8.960502068    2.18375314     3.078306968    1.662691566    0.0218276206   0.5976677804   0.2261072134   1.753442926    
35       I1         0.728718011    1.855932989    3.447680515    0.5146411477   0.603556501    7.789316642    2.890978104    2.763348196    1.380947417    0.1465919025   0.2279536292   0.676565623    1.191072349    
36       I1         0.8192857502   1.090187553    2.908180833    0.2089163743   0.836560833    2.631645173    2.787656451    3.053054538    0.513162095    0.04810559809  0.4215890459   0.6665248379   1.281041625    
37       I1         0.4057035626   2.186006007    3.27268924     0.6022610977   0.6438213597   5.567548951    3.40027001     2.996596436    2.606132663    0.1197710798   0.01076259456  0.1235298718   1.26919864     
38       I1         1.665250111    2.522935073    3.469245654    0.4342557839   0.9372722994   9.604909417    1.021002136    3.194220867    0.8735526437   0.06826710387  0.6012892504   0.9882857728   2.145782189    
39       I1         1.583172998    2.555003389    3.461227053    0.8608480364   0.3355639597   8.584118857    3.311063793    1.405590614    2.532783732    0.1325819701   0.2445864514   0.5588946152   1.520281088    
40       I1         1.531535246    1.754827795    3.961198443    0.282446083    0.6802152624   2.212150905    1.868636931    3.418092523    0.6175020954   0.04605129576  0.7588400182   0.2361322118   1.870987719    
41       I1         0.4433185135   2.25008588     2.955537223    0.7351553244   0.8581902132   6.59679333     1.671585959    1.485167692    2.246623344    0.1192409367   0.5564634849   0.2457535566   2.366789683    
42       I1         1.578140663    2.066444463    3.888104274    0.07083899011  0.714725534    1.447753494    1.794064947    2.196103292    1.729465576    0.1220759204   0.5347269965   0.03946107718  1.692565562    
43       I1         1.764753117    1.597078326    3.21120112     0.9105767505   0.7841465648   6.352420219    2.465765395    1.332235892    0.4140201693   0.1415581721   0.3780327417   0.5323531659   1.666012147    
44       I1         0.551983061    2.106105563    2.85479035     0.6890713407   0.5611679837   0.4714102173   3.205029226    2.359493885    1.115973053    0.05003656804  0.01544124633  0.4134329039   1.835306405    
45       I1         0.973829551    1.712391478    3.401677843    0.3961759723   0.05784624219  4.934930773    2.034118778    2.343669545    0.9893905311   0.05810579234  0.08676208221  1.123694287    1.060672525    
46       I1         0.5489412889   2.422904768    3.168104999    0.6350235686   0.807958624    1.373626406    1.090770128    1.094410435    1.03196887     0.07136475909  0.4664585421   0.1827940405   2.422973152    
47       I1         0.3762842491   1.914040856    4.43791119     0.2934147745   0.6084285145   5.484717207    3.147121145    2.558012703    1.526596236    0.09090044399  0.6246113314   0.9509356039   1.539013185    
48       I1         0.7579706501   1.138117183    3.54214926     0.465210757    0.06917312631  1.276621057    3.440100491    2.797410481    2.085681477    0.07059676391  0.8197467535   0.5656072529   1.70021171     
49       I1         1.771193562    2.282828503    3.778708329    0.5748104646   0.6953665752   1.323055332    2.076376343    1.215646383    0.8134176598   0.1291166391   0.8624352693   0.8932604974   1.923501249    
50       I1         0.5570628343   1.648557062    3.491418829    0.7362907138   0.09428000369  5.656863288    3.120410618    3.156081998    0.1646290686   0.09929096361  0.8175570273   0.4596001028   1.99139122     
51       I1         0.5937185563   1.763486224    3.306796818    0.5279734897   0.8178788364   8.654259139    1.591318896    1.743068374    1.495739404    0.1150772176   0.8531379856   0.5134655408   2.103623227    
52       I1         1.738002296    1.222511354    2.666142613    0.3240121076   0.607010724    1.177112345    3.381077879    1.789755191    2.516544502    0.003959483338 0.9692342289   1.094542369    1.697985574    
53       I1         1.05919981     2.364682212    3.419812513    0.676848485    0.1505513559   1.989780196    2.518181823    2.423435512    0.851993981    0.1181960738   0.8724405719   0.9651459609   1.679476309    
54       I1         1.177159204    1.029610094    2.693563229    0.1586357021   0.8350015658   7.15887715     2.878425189    3.084076775    1.482981472    0.1149770276   0.696974291    0.8628148921   1.269983749    
55       I1         0.3237088733   2.215010462    3.784201027    0.03599679946  0.1311815475   6.175578454    1.340808712    1.582097928    2.995874713    0.06649909936  0.6085988422   1.05189216     1.456936305    
56       I1         1.722002096    1.327864414    2.681218689    0.7782062663   0.5233939486   4.410688445    1.097642455    2.935104045    2.562126967    0.125998038    0.004016129291 0.6833664785   2.132403096    
57       I1         1.998319731    1.310918435    3.151201792    0.06864317479  0.871363053    6.52304944     1.067733821    1.893607026    1.376794623    0.1371659587   0.8398663657   0.8066126429   2.185179989    
58       I1         1.406987481    2.668874854    3.223508307    0.5837991308   0.1250539843   3.665753972    1.305595537    1.724899099    1.923184167    0.138283092    0.707761762    0.5716126027   1.981337186    
59       I1         0.7805910733   1.239487442    2.549313107    0.128473036    0.191096213    3.090635965    2.207458896    2.682615667    1.026619361    0.1330180116   0.1542354151   0.4022839764   0.812012567    
60       I1         0.3177406747   2.171886984    3.236266154    0.179527658    0.5846141512   6.827758737    1.599352301    3.225887387    0.9506316389   0.005011447635 0.1173897047   0.1540269885   1.245440377    
61       I1         1.085592975    1.899072277    3.056453917    0.09506460568  0.5953864639   0.803349096    2.214667896    2.035187039    1.333829325    0.02224212373  0.8439349819   1.139151374    1.588985426    
62       I1         1.428226823    1.502985028    3.195114581    0.8399888113   0.9584592573   9.082364385    1.865408501    3.408527915    0.9403590634   0.05944337844  0.5723086485   0.6994534355   1.732360574    
63       I1         1.131380639    1.181177565    4.218569711    0.07903790755  0.3632845532   1.857627286    3.193581599    2.850472546    1.279573994    0.04160675816  0.827271622    0.5859328164   1.584555356    
64       I1         1.275950592    2.530528148    4.446948188    0.3334357705   0.5424318474   9.442576294    2.728328268    2.732824588    1.628918322    0.1080760097   0.7674801633   0.05852071735  1.527009008    
65       I1         0.6957140961   2.37031698     2.797400905    0.5249688643   0.4435392042   9.688580275    1.079653216    2.49836251     2.143950926    0.05968760058  0.686605707    0.1510386529   2.381861036    
66       I1         1.758476031    1.605384842    4.266933182    0.333323562    0.9684807231   7.407846489    2.33548061     3.208521763    0.4924472402   0.03426764579  0.4182719554   0.8766727676   1.571118072    
67       I1         1.216061424    2.590534515    3.100025495    0.7827888579   0.6270359666   9.496401716    1.718019718    2.804449675    2.595281567    0.01529024303  0.4989811455   0.9287936895   1.751991916    
68       I1         1.005887567    1.880140909    2.934513602    0.8970061838   0.3128979224   7.283779674    2.613947314    1.585006259    1.871008319    0.04463007965  0.1067902611   0.2952049197   1.69386867     
69       I1         0.5625116465   1.892177349    2.841873065    0.6090147236   0.4692989556   3.486612735    3.341203918    1.515243163    2.002682596    0.1001235862   0.7707050809   0.6404883219   2.008706819    
70       I1         1.162721522    1.120258727    3.674383694    0.4149177055   0.7724180491   0.6063780837   1.460551876    2.544833167    1.424638829    0.1349818526   0.823001159    0.8670828814   1.953488936    
71       I1         0.6741398318   2.623360368    2.726943377    0.05106478175  0.2717204916   9.807148281    2.410876968    3.024064407    1.199772967    0.06248411691  0.9325268311   0.3263641291   2.055844937    
72       I1         1.82491466     1.423331016    4.095182904    0.3991976672   0.8689908005   9.893005244    3.037056762    2.276303189    1.958958951    0.1185475238   0.3224624452   0.1742958208   1.409945116    
73       I1         1.783188645    1.833095461    3.097604414    0.4583877322   0.06031807634  6.548255037    2.622931498    2.812112862    2.279911191    0.09632963381  0.647013944    0.3908779826   1.438112487    
74       I1         1.815934321    2.493927199    3.314757769    0.6646589952   0.4067010932   2.505893795    3.050855004    3.359483351    0.5971889914   0.08572637968  0.6233839663   0.9423277557   1.572432491    
75       I1         0.5303073602   2.694562258    2.808007965    0.2099069187   0.7373991272   2.118319626    2.847176678    2.442475446    1.515475977    0.09374300543  0.8861571921   0.755336269    1.955145127    
76       I1         1.467821931    1.254938783    3.752344211    0.5394486182   0.01152641849  4.60317251     2.017939144    1.881122969    2.557728449    0.0854542716   0.1493974259   1.1070157      1.459697882    
77       I1         1.031569625    1.985846631    2.628772169    0.3947952275   0.5671904152   1.740474131    1.951766702    2.378034994    1.844383773    0.004566311434 0.6730973224   0.13952398     1.748336096    
78       I1         1.701964074    1.448917371    3.819235255    0.6160442773   0.1177522271   2.456995337    1.212281635    1.123376182    2.975608582    0.04139225524  0.1095229231   0.9366220481   2.109342894    
79       I1         1.280854117    1.090962769    2.520144982    0.594645732    0.8745567966   5.436145523    2.724764023    2.463793211    1.317874553    0.06028558794  0.341021806    0.8484771149   1.255447493    
80       I1         1.324356168    1.664203842    4.413056666    0.2212320219   0.08285317218  8.538878684    2.301125446    1.688532865    2.195951212    0.1263313086   0.2586801996   0.2664644332   0.9718646687   
81       I1         1.474533859    1.767639995    4.109591472    0.03232881701  0.7329755853   8.62880349     2.709937443    1.53743792     0.564990436    0.1442139979   0.1018627783   0.9126722001   0.8298484654   
82       I1         1.659968719    2.653075503    3.246093392    0.9462985109   0.03575032858  7.868435783    1.675449878    2.352832246    1.352460325    0.05072073839  0.3059979655   0.8546714024   1.885605018    
83       I1         1.230764125    2.543200157    3.951384311    0.4528106755   0.2751800928   5.162715657    1.259489469    1.740149438    0.2290742574   0.07882172853  0.212184488    0.7445340188   1.926554392    
84       I1         0.5369019975   2.298393316    2.544647477    0.5377850523   0.5056121611   8.49266892     1.890272128    1.918856538    2.032463809    0.04701211373  0.5897202163   0.2535399779   2.065795885    
85       I1         1.221021649    2.262234132    3.847275111    0.3832702037   0.7502055389   4.78116836     2.16818102     3.039884572    0.4075683823   0.1491861014   0.471523116    0.9694561558   1.428837401    
86       I1         1.600285292    1.509549826    3.156802105    0.9844407052   0.4161493205   2.946877912    2.598481492    1.428491502    0.793043185    0.01004592647  0.678096566    0.03236872587  1.661496619    
87       I1         0.6501714999   2.447268904    3.929824668    0.9711978667   0.1013074441   7.256774185    2.319904806    2.476331397    2.280089251    0.07035613676  0.19955821     1.026746321    2.044491563    
88       I1         0.3351591749   1.790683409    4.371764867    0.1822568941   0.2087928288   3.161734854    1.14470054     1.053804211    0.927048578    0.1316046103   0.7979475441   0.262631748    2.11387329     
89       I1         1.23714383     1.346035666    3.510254339    0.2421199327   0.1201212604   2.858188311    1.553425089    3.094863092    2.845804891    0.07903607371  0.04964967959  0.8873449466   1.305322755    
90       I1         0.7724829562   2.309147292    4.02533537     0.02682032949  0.2877460165   6.266903658    1.982777018    2.635278735    1.943815321    0.05529281202  0.344593007    0.5451434742   1.004748181    
91       I1         1.990996676    2.436423644    2.599265732    0.8944457742   0.7761797963   9.053510048    1.741723812    2.742180263    2.768704273    0.02566842705  0.2563513162   0.8006618668   1.912852815    
92       I1         1.250014581    1.802122459    3.526345781    0.7479293057   0.2999623596   6.399624598    2.826130043    1.804392924    1.781708629    0.143757588    0.2500260837   0.4199412228   1.372823921    
93       I1         1.359382799    1.290716929    4.360787384    0.6602045533   0.1376139005   7.623043751    3.138695567    1.694393547    0.4781242995   0.03807627054  0.1307679266   0.1897653558   1.362441323    
94       I1         1.88843912     1.74754868     3.59973603     0.1134234945   0.6961344583   8.264963864    1.930685724    2.645675003    1.213857927    0.0006787303254 0.1717230071   0.5352663687   1.6195918      
95       I1         0.3052678245   1.930591487    3.178457219    0.6297198519   0.653742217    2.837997409    1.349083296    1.937153458    1.612409251    0.09145096807  0.2915476235   0.3112650316   2.216808075    
96       I1         0.9059262998   2.572289077    3.128993032    0.368880236    0.2375262317   2.681876318    2.354394372    2.251663395    0.1523532814   0.0209033312   0.09294860668  0.7051120933   1.098932294    
97       I1         0.8239859326   2.673454282    4.353231216    0.152770079    0.2602711335   0.8342739093   3.470998266    2.211916722    2.860723638    0.02759367302  0.05292350722  1.030198957    0.4575264693   
98       I1         1.117992494    2.27527896     2.719834169    0.5617577824   0.4753711493   8.13962312     1.17345003     2.238241584    2.213864202    0.04671383839  0.2624455641   0.01946782242  2.029724242    
99       I1         0.6677877611   1.693992783    3.349998568    0.4984778558   0.5857182627   7.027733153    1.160345849    1.980553407    1.505656796    0.1114108249   0.6582923944   0.9789015511   2.004611311    
100      I1         0.9744128914   1.034365161    3.024145158    0.9569122946   0.7618330616   3.661604156    2.562418642    3.203180992    2.662476514    0.06531004145  0.3267196591   0.381971943    1.853077732    
101      I1         1.708819711    2.29651723     4.340212492    0.7065912886   0.509737054    4.727184153    2.229634502    2.735927215    1.1564665      0.1069808297   0.06360316821  0.07879512173  1.650135679    
102      I1         1.315604476    1.461686529    3.788768941    0.5788593947   0.3148766168   1.696533584    2.434446248    1.633826458    0.9374078361   0.1428582701   0.548414806    0.09719628331  1.553696498    
103      I1         0.6996487793   1.727952704    4.264413472    0.2345873294   0.6425564559   7.03016898     2.60466547     2.292174524    1.749542058    0.1336561882   0.7945921281   0.803983036    1.628543319    
104      I1         0.5874682381   2.037781874    3.481052509    0.8162194583   0.5788924596   6.61131203     1.056579247    2.43486567     2.637092678    0.08887611026  0.2062493005   0.8189964398   2.144741937    
105      I1         0.7357388406   2.339796042    4.207658737    0.05814758281  0.9325752491   1.040583558    3.153146854    1.997363397    1.168346617    0.1358878523   0.9779392776   0.6568268225   1.905937313    
106      I1         1.492923017    2.480325566    4.125732872    0.9169635703   0.9087467498   0.4383188587   1.272784412    2.950141632    2.77372457     0.06764849255  0.2079480975   0.3430472589   2.166270355    
107      I1         0.8066862593   1.100195685    3.229890596    0.7522225039   0.3414620436   9.435916875    1.607700684    3.049013371    2.321944484    0.03584871559  0.147957556    0.8100140223   1.777133174    
108      I1         1.464084269    1.219835666    4.196549783    0.4751500174   0.02603853883  3.940408519    3.322483215    2.097689552    1.301686357    0.1120714863   0.895426609    0.5082892904   1.759495857    
109      I1         1.948251375    1.394356037    2.635728609    0.8202279181   0.4780046208   1.813236371    2.057926537    3.252977327    1.972957627    0.0360004772   0.6277035042   0.3180429239   1.809252471    
110      I1         1.144801891    1.941346502    3.13492306     0.2749906241   0.356885533    7.064042437    2.795801305    3.006776598    0.02365816283  0.1071671306   0.1749124521   0.5045858598   0.7208476474   
111      I1         0.9080263691   2.407301197    3.296963637    0.2997027545   0.02016356509  9.719304767    3.233827472    1.759287404    1.412303302    0.1421229846   0.5322708648   1.055033212    1.137932964    
112      I1         0.5744913194   2.333158098    3.885662293    0.6853682706   0.7991067335   2.28079469     3.448515501    2.069432619    1.892559692    0.09306579411  0.1054254451   0.5248224755   1.500765752    
113      I1         1.592116285    1.283147972    3.287586518    0.02088740981  0.6483402606   7.375963574    2.342573154    2.080113807    0.2344448061   0.007749145367 0.5415207722   0.5949534802   1.263279999    
114      I1         1.382954783    1.717746796    4.382333396    0.78766895     0.5927817656   4.126543821    3.397554594    1.943476169    2.362576559    0.01428642571  0.679934201    0.6130800588   1.683370563    
115      I1         1.636678545    1.31261729     3.549718539    0.588488354    0.2484786123   3.251303546    2.664880824    2.661461078    2.652318065    0.1408629351   0.02280561979  0.008649165397 1.170611377    
116      I1         1.381827444    1.740200609    2.725188637    0.307045893    0.4543216541   7.534625544    2.755057012    1.565052783    2.200932374    0.01819411641  0.2043806205   0.7507657814   0.8280464109   
117      I1         1.361125029    1.823230549    3.087118066    0.1869733362   0.7193760053   0.275446016    2.099260682    2.45213507     2.935511844    0.09788967312  0.1976141502   0.3540794997   0.9255673052   
118      I1         1.266159008    1.563813263    3.63207404     0.6923296241   0.7289337692   1.28832285     1.428436597    2.630120508    1.64450627     0.04087647007  0.4450268394   0.01425202926  1.938096665    
119      I1         1.841418893    1.07842609     4.397440051    0.8847277457   0.8014879318   9.391928479    1.97242533     2.824418855    2.904393162    0.05129799191  0.289298354    0.4252247344   1.942623483    
