%eval_id interface log__t_efold_shallow log__t_efold_soil log__t_efold_karst f_exfiltration_shallow f_exfiltration_soil PDD_melt_factor log__H0_pdm_shallow log__H0_pdm_soil log__fdd_threshold snow_insulation_k f_tile_soil    log__tau_tile  wp_soil        wp_soil_sigma  neg_kge        
1        I1         1.415755904    2.288418569    2.518656767    0.7156196559   0.4360470655   9.301918015    3.233827472    2.052800766    2.574276153    0.06764849255  0.8929566989   0.9079929572   116.3111418    75.9023637     1.577211848    
2        I1         1.062583374    1.831704451    3.530301182    0.3908718751   0.4387943063   2.418285222    3.081848135    1.724899099    2.415689166    0.1316046103   0.8349517666   0.4287696594   9.912665612    85.49555212    1.545825106    
3        I1         1.969316018    2.637878489    3.33756519     0.7643935641   0.6746964876   1.779648702    3.120410618    2.895857416    2.516544502    0.04040964973  0.4546517614   0.339948886    141.1730297    12.85072394    1.788086885    
4        I1         1.564016217    1.576814556    3.373360849    0.8314936832   0.6208331469   3.661604156    1.737073229    1.937153458    2.860723638    0.07035613676  0.4026246325   0.9509356039   247.5300127    147.206089     1.829323426    
5        I1         1.335763744    1.290716929    3.357614425    0.3203010297   0.537096675    3.347979457    1.666097965    1.926072213    0.3088455682   0.0360004772   0.471523116    0.7718116973   185.1980956    76.79466719    1.840492124    
6        I1         1.979905971    1.712391478    3.006263884    0.5475402506   0.9684807231   9.053510048    3.451758046    3.268006597    2.917611902    0.09652084515  0.9417198656   0.3540794997   279.2288961    8.593796648    1.787069821    
7        I1         0.6218146609   1.937680794    3.903464658    0.6112363957   0.5185026592   6.216627951    2.254161223    2.322506905    0.06471579987  0.1430094005   0.2043806205   1.128340904    135.7460304    58.92154558    1.943953056    
8        I1         1.389904313    1.754827795    4.374703127    0.7300191398   0.7707287291   8.334224322    3.006983899    1.767285865    2.845804891    0.127227939    0.1333259239   0.07879512173  234.7932867    0.968905273    1.784301451    
9        I1         1.956310536    1.461686529    4.196549783    0.4313628953   0.05124040972  3.161734854    2.194981328    1.129239927    0.03983749031  0.08996766171  0.9234826504   0.5279416934   102.5917855    23.37873463    2.003657592    
10       I1         0.6741398318   2.324481988    4.328839539    0.8970061838   0.1505513559   9.442576294    1.155739705    1.572091987    0.5531455319   0.1421229846   0.574308269    0.4252247344   184.2495637    54.2835687     2.248811104    
11       I1         1.82491466     2.201317947    4.01903848     0.4984778558   0.9087467498   4.675868525    2.847176678    1.252843642    0.8134176598   0.1155396903   0.1911897096   0.8945169522   31.25492643    45.31891711    1.583520607    
12       I1         1.665250111    1.487467654    3.491418829    0.6602045533   0.1479898162   7.15887715     1.445860462    1.195233659    2.624843539    0.1087171668   0.4565617958   0.008649165397 157.213026     127.5037029    1.958906283    
13       I1         0.4360475337   2.547458364    4.068233866    0.03599679946  0.3380955784   4.504271809    2.583368745    2.107063431    0.7163071701   0.01093511097  0.679934201    0.4076831776   119.6956647    16.43555755    2.088374168    
14       I1         1.257981942    2.623360368    3.717211402    0.4631838113   0.3871736439   3.465457878    2.54342476     2.251663395    2.793254625    0.1408629351   0.6561717365   0.2068749184   117.0078915    78.34008187    1.607938975    
15       I1         1.708819711    1.285348205    3.898699169    0.8661838949   0.603556501    5.939641469    2.18230542     1.881122969    1.333829325    0.08098445679  0.03374676109  0.07242328134  228.0289961    0.5299225526   1.944288805    
16       I1         0.6158441461   2.600075591    2.737443737    0.7065912886   0.4161493205   7.427576021    1.349083296    2.045882765    2.710810701    0.0952510559   0.823001159    0.262631748    57.91201038    135.6936514    2.402941016    
17       I1         0.8313026433   1.614103081    3.006847077    0.3832702037   0.1952555708   1.63161365     1.857987569    3.456802693    1.997537949    0.1150772176   0.6159562813   0.3112650316   104.2510018    121.8997973    1.594119385    
18       I1         1.990996676    1.005001595    4.25617578     0.2421199327   0.5565208168   7.652579117    2.123644312    1.236715447    1.934508574    0.1071671306   0.833886297    0.8315909743   62.39240856    120.2129902    1.948686064    
19       I1         1.05919981     1.169199313    2.657896966    0.02088740981  0.4123488404   8.818446818    2.065274884    1.445902362    2.532783732    0.07173282166  0.1646090425   0.05594325398  178.156683     48.5863552     1.72661403     
20       I1         0.8352697815   2.364682212    2.591160766    0.8130420474   0.220584488    0.5155318816   2.944974689    1.390489932    2.101459796    0.07136475909  0.4887001888   0.6404883219   258.5724938    93.08325255    1.801879689    
21       I1         1.670202853    1.846727143    3.424068791    0.4583877322   0.5671904152   6.399624598    2.87143989     2.331733285    1.263788492    0.1280895555   0.7389811265   0.9882857728   153.1414907    128.9042891    1.59568401     
22       I1         1.881864559    1.880140909    4.172137493    0.8399888113   0.2025505396   1.740474131    3.010601391    2.442475446    1.174228981    0.07204856641  0.462568454    0.5716126027   12.53208916    90.62151732    1.814792321    
23       I1         1.948251375    1.875005895    3.306796818    0.8055794563   0.6635464248   2.631645173    2.314827831    1.980553407    0.4781242995   0.003060217119 0.5592818801   1.145423264    206.9229936    65.49676424    1.804391978    
24       I1         1.674256652    2.153882841    3.63207404     0.1423160262   0.5424318474   6.440097854    2.988478439    1.522777782    2.874793484    0.1375507988   0.06732873272  0.9714150189   87.28591698    82.21558407    1.50180913     
25       I1         0.4304851418   1.901955297    4.23019236     0.5394486182   0.2417438303   4.331382158    1.272784412    2.411801312    0.1211353351   0.08110155981  0.318113909    0.6885429112   110.2774074    7.095081474    2.166546768    
26       I1         0.460359321    2.462764673    4.095182904    0.6923296241   0.2576233267   5.436145523    1.286243391    2.151304808    2.904393162    0.04983819246  0.2962104181   0.7980652064   118.3765618    14.42823378    2.240931314    
27       I1         1.784835303    1.607062876    4.109591472    0.8532681676   0.1597277525   6.61131203     1.675449878    2.804449675    1.495739404    0.04593195816  0.01544124633  1.010849081    223.9590902    125.4137685    2.069506916    
28       I1         0.937441218    1.327864414    4.314317134    0.9014394052   0.05784624219  9.33223508     2.465765395    3.203180992    0.01046354536  0.02823281811  0.1812863391   0.5451434742   100.4076062    147.8018222    1.777350085    
29       I1         1.160758497    1.727952704    3.195114581    0.2228202545   0.5927817656   1.113506027    1.313900634    2.426668627    0.6458957316   0.06562738246  0.6730973224   0.1687750622   298.3156161    72.36518388    1.97713669     
30       I1         1.395449208    2.273852932    4.469608268    0.5950280336   0.5056121611   2.171727156    2.16818102     1.308054637    0.7445761725   0.03280953308  0.925605282    0.6865957214   213.7072009    86.82496976    1.828424446    
31       I1         0.9059262998   2.091183159    3.419812513    0.5852573008   0.1289259313   5.071982654    2.354394372    1.163120034    1.892559692    0.1128200986   0.9172046298   1.08980198     293.8649664    61.92543911    1.750437495    
32       I1         1.518732135    1.259956569    3.447680515    0.2605007178   0.03575032858  4.630881637    1.326716649    3.129949977    2.139711291    0.01342087327  0.8305988256   0.8670828814   32.95889091    55.98773697    1.992735092    
33       I1         1.381827444    2.559012186    2.757391787    0.6350235686   0.2087928288   2.212150905    1.237292771    3.219664226    0.3851938745   0.08918136731  0.734230837    0.6130800588   142.5388973    107.8347151    2.077296761    
34       I1         0.9445149779   2.226407977    3.771107536    0.8583340564   0.01152641849  9.496401716    3.311063793    2.982523479    0.6588449378   0.07660801036  0.4182719554   0.4694185475   96.71154489    46.36789033    1.802546413    
35       I1         1.651440729    2.112643846    4.006081118    0.3136359659   0.5517586627   6.315550258    2.154174786    3.174512681    1.844383773    0.1415581721   0.3623437924   0.2952049197   292.0697689    95.55090125    1.921140681    
36       I1         1.303370076    1.963526746    2.555153062    0.5146411477   0.7724180491   4.247479126    3.381077879    2.271710607    0.513162095    0.0135951224   0.3726005921   0.01425202926  257.1845695    10.2254767     1.650641775    
37       I1         0.6609580598   1.629118409    4.478762658    0.3027917464   0.807958624    8.435700196    3.40027001     1.789755191    2.430498278    0.009597835542 0.07284713712  0.5737659949   271.1908073    31.1497239     1.861795955    
38       I1         1.600285292    2.6877406      2.538278452    0.6297198519   0.979447786    3.302655049    1.037207481    1.496207623    1.900026215    0.02224212373  0.9488494461   0.5232900657   283.2670214    22.47447442    2.181383598    
39       I1         1.712625696    1.664203842    3.190784844    0.8944457742   0.5475262182   2.073431759    1.553425089    2.530530063    2.814390404    0.08704796234  0.3020887972   0.3242320639   42.73343276    20.83676703    1.937629389    
40       I1         1.683075573    1.015258679    3.954929593    0.08187029442  0.7855111937   9.082364385    1.368960192    3.006776598    1.634907673    0.009130708936 0.678096566    0.755336269    208.353941     6.357818685    2.184985456    
41       I1         1.177159204    2.50296565     3.45754666     0.9711978667   0.4707808031   7.662693208    2.233781363    1.037282727    2.614031237    0.02759367302  0.9325268311   0.5008630138   264.9144934    39.72770298    1.753055249    
42       I1         1.280854117    1.693992783    3.385764139    0.9169635703   0.9584592573   4.999514334    2.134421948    2.599396139    2.246623344    0.07719453959  0.2563513162   0.1742958208   64.09592132    131.9749295    1.655704092    
43       I1         1.324356168    2.444789642    2.965447787    0.7218329044   0.7329755853   9.218734886    1.982777018    2.229120089    0.7005035309   0.05003656804  0.4401880427   0.7080915252   189.9672153    8.841178957    1.727878983    
44       I1         1.527668383    1.024249216    3.845312261    0.8644663599   0.9751072237   2.271706462    2.929888882    2.945032852    1.03196887     0.1300090171   0.07074815394  0.6833664785   202.6852348    44.5048912     1.842697721    
45       I1         1.690483718    2.333158098    4.125732872    0.6318941159   0.8500911906   8.935380853    2.940504265    1.971433464    0.02365816283  0.0209033312   0.1067902611   0.00406126534  114.255058     58.45076175    1.795497875    
46       I1         1.507471669    1.219835666    2.996022772    0.1717771929   0.3909964414   5.955674479    3.448515501    1.901372925    2.637092678    0.08572637968  0.5812672276   0.7445340188   219.2400622    101.5094068    1.663995437    
47       I1         1.3490471      1.502985028    2.934513602    0.9243459712   0.805928482    6.59679333     2.60466547     1.53743792     2.728142416    0.09956963832  0.1131014103   1.139151374    16.35978986    146.171708     1.529936158    
48       I1         1.474533859    1.57146601     4.413056666    0.3438077843   0.1311815475   8.415995466    3.090544016    1.245559558    0.8735526437   0.003959483338 0.7738028734   1.030198957    280.4929067    129.0902121    1.784495563    
49       I1         0.7461268417   1.545416253    4.02533537     0.9795582233   0.4435392042   0.3582731703   2.622931498    1.481663572    2.358554384    0.06649909936  0.2259792969   0.8873449466   296.0228258    64.22938451    2.029886411    
50       I1         1.69721588     1.684763754    3.401677843    0.3745234011   0.06917312631  0.241138325    1.441605389    2.49836251     2.408827111    0.1008911731   0.4786041716   0.636817604    84.42042931    88.10020618    1.925466087    
51       I1         0.5420655705   1.648557062    2.992332302    0.6090147236   0.8537564426   8.08061807     1.718019718    2.086015148    1.772981264    0.1475647042   0.6582923944   0.8567651606   186.7649344    140.8302769    1.907963767    
52       I1         0.4792202012   1.100195685    2.57275019     0.4929807404   0.10346091     0.803349096    2.431475731    1.688532865    2.944660868    0.019699681    0.147957556    0.6076613037   61.88548142    73.49044618    1.596534542    
53       I1         0.869678216    2.543200157    4.222988627    0.3991976672   0.5109124987   2.35856479     3.111064988    2.533601941    0.9374078361   0.03584871559  0.2771438538   0.7339666564   60.39742782    56.91862688    1.375798662    
54       I1         1.275950592    2.436423644    3.068165516    0.6010773471   0.182428131    1.845591962    2.971264849    1.565052783    1.237985725    0.1192409367   0.9874280903   0.1274763176   192.863247     115.5929877    1.665517384    
55       I1         1.186805977    2.402522684    3.087118066    0.07903790755  0.9325752491   7.21046598     1.160345849    1.596049626    1.145453166    0.0801661953   0.1842874824   0.8189964398   168.4467212    63.00914003    1.989930194    
