%eval_id interface log__t_efold_soil log__t_efold_karst f_exfiltration_soil PDD_melt_factor log__H0_pdm_soil log__fdd_threshold snow_insulation_k f_tile_soil    log__tau_tile  neg_kge        
1        I1         2.390483718    3.692617075    0.9117041212   6.530355773    3.197354727    0.275915598    0.03547913378  0.3185395979   0.8222803618   0.335286911    
2        I1         2.115755904    3.020067921    0.8200926539   3.472139862    2.797769219    2.495219492    0.1373034318   0.3301448915   0.07279789321  0.2828027983   
3        I1         1.66579508     2.907100784    0.06656576261  0.6298177523   1.638446769    0.2131360897   0.005858547319 0.6861985368   1.087097468    1.13406175     
4        I1         2.50468192     4.444794709    0.5079141114   5.056203602    3.013027381    2.677388137    0.03596113809  0.06872718229  1.02783512     0.3883711558   
5        I1         2.515934321    3.851414134    0.3355167219   7.228198565    1.940662996    1.179143481    0.08245133542  0.08918881422  0.6245347312   0.9261671402   
6        I1         2.283172998    3.233603688    0.8467527811   0.4439024378   1.545737052    1.53415626     0.1464060295   0.4867315553   1.017066028    1.676915018    
7        I1         1.236901997    2.92345399     0.2089578086   2.852261451    2.451256275    2.757452028    0.04450342873  0.4821320496   0.8332434666   0.4730093114   
8        I1         1.15525955     3.488369412    0.2035802409   9.894516746    3.327675458    2.847394459    0.04052699267  0.7882614762   0.8292348277   0.4536004253   
9        I1         2.662053355    4.229627726    0.08736951318  5.694942135    1.325545665    0.7564261718   0.064201974    0.4903436674   0.5139948552   1.816627509    
10       I1         1.302137338    3.78829318     0.5611412147   2.756046349    3.163750544    1.980010656    0.05489706461  0.2209878989   0.5499109481   0.4316231003   
11       I1         2.631563387    4.17400561     0.758768983    8.178379648    1.814970212    1.81944132     0.14691093     0.7066845909   0.0290488263   1.287356006    
12       I1         2.370202853    4.476620445    0.2218144169   2.507284945    1.472590742    2.019271186    0.03456908868  0.4772449404   0.3397771882   1.520706079    
13       I1         1.372990647    4.279106544    0.02402960909  0.5148381013   2.855610018    2.147597979    0.1017755786   0.1719605564   0.4463084077   0.7587987331   
14       I1         1.862721522    3.949820751    0.4643679895   9.473516053    3.313795598    2.980413429    0.1049649774   0.5273663808   1.057645032    0.333628293    
15       I1         2.345442561    2.636536642    0.6889745238   0.5442024497   2.086854759    2.749921694    0.1115606803   0.5590733195   0.3029424967   0.8972885497   
16       I1         2.511396034    4.025314388    0.8113882099   9.402470267    1.529614483    1.883500078    0.08164750147  0.2942550761   0.6540802414   1.613411299    
17       I1         1.340152146    2.671844913    0.3676463919   7.860451058    3.035608735    1.911851559    0.02422123677  0.5310932993   1.14104342     0.4016111285   
18       I1         1.615453797    2.87970511     0.9040988944   8.963357097    3.262617504    1.510356688    0.1069470298   0.6516873013   0.2221150528   0.6277552272   
19       I1         1.792924469    4.189910169    0.9751080515   7.038546648    2.74838412     2.931356019    0.09056209869  0.4799190219   0.7346563518   0.6152177407   
20       I1         2.095449208    3.535459893    0.1381446722   7.720914576    2.264316737    1.723537518    0.01787790468  0.7224698667   0.7109932779   0.488644644    
21       I1         1.535269781    4.040173285    0.6365670813   5.673879639    3.000775693    0.8830090945   0.05341632766  0.3949559054   0.9770522677   0.3587219542   
22       I1         1.975950592    4.150026687    0.400512182    1.287616446    2.750343006    2.763252996    0.107259387    0.3073416195   0.7300817498   0.3321137201   
23       I1         1.944751552    3.520394664    0.6141247422   9.197663091    2.536189101    1.568241679    0.01960299896  0.9281332653   0.5275219132   0.5974905431   
24       I1         1.45797065     3.379469036    0.1987421265   5.43170614     3.019101867    1.465130537    0.01883403802  0.3270393023   0.02112917595  0.4048357505   
25       I1         1.013126128    2.933302108    0.4264992985   4.892884515    2.072164906    1.719654947    0.0973758899   0.8538084713   0.2575248035   0.9965279909   
26       I1         1.921021649    2.824876514    0.5753347279   6.222284026    1.63169216     2.530075828    0.1036996961   0.3538683822   0.5999523603   1.156769986    
27       I1         1.687080142    3.64820331     0.6496377459   5.36997952     3.482214741    0.7671652038   0.09500212468  0.8814514051   0.3631412861   0.5488537803   
28       I1         2.167821931    3.798781944    0.06935178189  2.7769461      2.25796207     2.721928601    0.1453952282   0.1432601651   0.4417702031   0.3927997083   
29       I1         1.130114072    4.382441872    0.8431180264   8.075067109    3.338747583    0.7025106732   0.06282746917  0.6540110814   0.1110955697   0.8815280351   
30       I1         2.089904313    3.409211214    0.1129324671   1.584028923    2.879844988    1.621749119    0.1195602502   0.2628825439   0.3185048772   0.4618122813   
31       I1         1.3501715      2.898175949    0.5696627217   2.891925863    2.371240352    1.36459773     0.008682032382 0.8434601911   0.155691122    0.8844308563   
32       I1         2.475966423    3.990657858    0.5534769359   3.234673667    1.524696469    1.601719438    0.1301537977   0.5177328899   0.584674356    1.605128792    
33       I1         1.395714096    2.690692715    0.1409515811   2.279544782    1.686690934    0.8626902762   0.08678170038  0.01476395994  0.9403443506   0.7816128627   
34       I1         1.010710877    3.101491135    0.0765070186   9.060572673    3.080371819    2.611092566    0.03646204102  0.2441586623   0.4080096616   0.7101887351   
35       I1         2.010439953    4.365189906    0.2583550677   8.398762718    2.152339422    2.474231474    0.0008552778441 0.825294403    1.116583186    0.5867934026   
36       I1         2.499934239    3.589662688    0.7259872373   7.93993325     2.689011606    2.543233006    0.05710600213  0.1272079571   0.7003943082   0.2397396656   
37       I1         1.24206557     3.28918967     0.5365189733   0.1769113734   2.709732812    1.032210426    0.1471054828   0.2316624787   0.6490479106   0.5114625352   
38       I1         1.572472806    4.487912498    0.791639623    9.290806578    2.597092677    0.5289672612   0.07288007373  0.4922201964   0.6683250662   0.5327076912   
39       I1         2.205239601    4.217247809    0.04744972561  1.014452211    1.537205327    0.8358146397   0.01674860846  0.7175966932   0.5599293088   1.482054512    
40       I1         2.289566797    3.84290054     0.09879715739  1.887791865    1.901236105    2.139053682    0.02355791378  0.2582845903   0.5751608962   0.8636176856   
41       I1         1.23030736     4.263533686    0.7543288554   5.943912963    1.177098855    2.059132162    0.1230513002   0.226548427    0.08955791592  1.597467377    
42       I1         2.198235502    2.954449181    0.1263474312   2.249918897    2.616891224    1.282237018    0.05211821586  0.2903781364   0.3580897934   0.28763688     
43       I1         2.451218561    3.172312953    0.2668311274   1.104796521    1.962177663    2.252916831    0.07009086117  0.8659576102   0.310725546    1.100734198    
44       I1         2.026528753    3.975416801    0.2183917883   0.3255666208   2.358244509    2.099313077    0.05896662108  0.3255108668   0.6935086781   0.3667307557   
45       I1         2.440831827    3.099470384    0.3506061447   9.154519875    1.105205127    2.707680943    0.09374511853  0.3711127694   0.8948828189   2.117692396    
46       I1         2.328908169    4.144689943    0.8684441726   4.197736747    1.758632794    0.8092529093   0.06458258059  0.6736706257   0.482767204    1.294595758    
47       I1         1.448248883    2.975463035    0.9203800255   2.531383436    1.00861831     1.104831343    0.1404722351   0.1001260823   0.9009677747   2.099967414    
48       I1         2.550647614    3.80899276     0.3959173938   2.317182403    3.43548336     1.581287851    0.009620750918 0.3918594668   0.6093656145   0.3354491831   
49       I1         1.419627759    3.084028095    0.988718817    9.581427455    1.446415472    2.279710228    0.06873411431  0.4277250675   0.2663496328   1.68574578     
50       I1         1.608026369    2.971723814    0.8520991582   9.508499215    1.150951853    1.973124858    0.1438532757   0.03597498394  0.3541325568   1.845928306    
51       I1         2.422002096    3.043160622    0.2433909221   0.9118954856   3.462008224    0.5472044675   0.1150234799   0.7145620714   0.7630594967   0.3180195739   
52       I1         1.36095806     3.137700111    0.651422557    4.233359989    2.776986422    1.631732487    0.1044387499   0.9050819903   0.5333697261   0.788785109    
53       I1         1.957981942    2.722733063    0.2580693034   4.404323695    3.234140563    0.4641253486   0.03948204367  0.1219896361   0.8645586848   0.4024568162   
54       I1         1.553596247    3.661522358    0.7967770558   2.838477804    2.465852426    2.214498936    0.06107634863  0.9174804898   0.8388533629   0.7860744848   
55       I1         1.648138288    3.594813514    0.2134344194   4.678081359    3.108573553    0.5089844551   0.05975538021  0.03185427192  0.9025042457   0.5220787995   
56       I1         2.146335508    2.574738898    0.9675446237   4.483330246    1.439867681    2.698876829    0.122824631    0.7117745505   0.3450010903   1.79236196     
57       I1         1.117570384    4.162871325    0.3553098455   6.74857966     1.918425672    2.566400366    0.003394754834 0.3038452025   0.9269018715   0.6833275783   
58       I1         2.278140663    3.212217461    0.6257311488   6.083045783    3.169636811    2.324995802    0.04029515756  0.7366998546   0.5348445024   0.2648886251   
59       I1         1.877159204    2.99803649     0.358488549    5.846640824    1.27487813     2.441867073    0.08843731219  0.265315605    0.3882569866   1.584688484    
60       I1         1.067752423    2.561105748    0.7712621563   5.805738367    2.695654305    2.363411941    0.01513097557  0.5357215693   1.075097134    0.7458086546   
61       I1         1.411379407    3.240139305    0.4092313068   2.715494276    3.445103885    0.3263976803   0.1440162006   0.2554311941   0.3408780091   0.4038374955   
62       I1         1.83489634     4.453329428    0.2512428279   4.73291236     2.974863686    2.685000627    0.0812636623   0.9636320141   0.2756018465   0.4747922971   
63       I1         1.388119901    3.418420474    0.545684043    1.436661897    3.319114535    2.387401229    0.1291888112   0.1580659387   0.9613199997   0.4190050064   
64       I1         2.250696324    3.356414946    0.8265532606   6.414013601    2.382037405    2.621619377    0.01494135697  0.7399776338   0.9514620469   0.6001955575   
65       I1         1.900518864    2.50588423     0.01987104104  3.947583228    1.025927462    1.748765178    0.01717460347  0.9488234192   0.1860279057   2.205697491    
66       I1         2.34120002     3.772903279    0.784607915    3.453847976    1.75145315     2.97861691     0.08012883658  0.5383595783   0.9139524776   1.295240845    
67       I1         1.017740675    3.014512467    0.5206531373   0.3794033731   2.036095205    1.29244494     0.05147925416  0.198975104    0.03966223807  0.7601119275   
68       I1         2.015604476    3.3880327      0.870526132    5.332589335    2.888279436    2.100051206    0.01109627483  0.3614751446   1.077753623    0.3765568987   
69       I1         1.740563043    3.916633348    0.9271647848   1.96484778     1.3349751      0.6580928671   0.07553646231  0.7008029636   1.109478188    1.756893777    
70       I1         2.001021493    3.196216434    0.6392585031   4.540892924    1.667654315    2.905630386    0.1346089076   0.6663158043   1.052900031    1.231862591    
71       I1         2.464753117    3.25755696     0.2787708775   2.389648818    1.238420689    2.779878487    0.1266638993   0.01071378709  0.3942121083   1.922131328    
72       I1         1.487877155    3.028138083    0.4704067544   4.609512709    1.608363807    0.9915488433   0.1359590119   0.811409295    0.5789118232   1.254863137    
73       I1         1.192144908    2.699058015    0.3792242899   9.994476062    1.977510326    2.061751914    0.04626192783  0.647570379    0.003997074328 0.7752833403   
74       I1         2.383075573    3.834027363    0.7986998212   5.911272733    3.123081186    0.7488088268   0.05528032943  0.2930991773   0.04627369803  0.2466865624   
75       I1         1.662142075    4.434247581    0.1592680332   5.219617476    2.774119057    2.66482792     0.06532171238  0.5712202768   0.3983780758   0.3555091177   
76       I1         2.679905971    3.561123879    0.7685437061   1.601523929    3.143089772    2.6069846      0.03382598092  0.1802520363   0.07019446308  0.2545805615   
77       I1         1.624184373    3.937053065    0.1557264435   8.484580848    2.526603353    1.84108438     0.1087771689   0.7722560863   0.0152179213   0.3943490957   
78       I1         1.367787761    4.340006431    0.9090711576   1.21687323     2.146468633    2.452882764    0.1222234057   0.9091431402   0.5642538081   1.105128839    
79       I1         2.318362611    2.623863145    0.1775178019   7.634728321    2.493332816    0.6798772637   0.1146199713   0.6169730306   0.2099321565   0.3153063573   
80       I1         1.130485142    3.581341495    0.5998100814   4.190495188    1.723235656    2.232011366    0.02213761153  0.7765905472   0.6953609696   1.137574945    
81       I1         1.925710618    3.801300663    0.1361219754   1.35251921     2.297200661    2.34008766     0.08510793925  0.192126406    0.8280642397   0.401450378    
82       I1         2.448286095    3.370824246    0.04564759294  1.462707619    2.998655887    1.199399624    0.1034858414   0.5035974003   1.089338043    0.3989176857   
83       I1         1.548020555    4.061261418    0.4791978633   0.8260366477   3.252204387    2.788460005    0.1256033438   0.3804367289   0.3839278357   0.3711498352   
84       I1         2.081827444    4.409835728    0.9286045323   6.586008373    3.13509765     2.204837447    0.138338759    0.05117901095  0.0628883042   0.3109547732   
85       I1         1.485629004    2.704478325    0.7061470519   8.524852709    1.571553906    0.01162295839  0.08606677491  0.3006778121   1.072613849    1.201596401    
86       I1         1.746500615    3.227980779    0.9706041785   7.759167438    2.758841334    2.967577347    0.09109090936  0.1964982186   0.7206366733   0.6211401564   
87       I1         1.851278613    4.036478649    0.4627937077   0.4668629691   2.844325473    1.130821886    0.04889808707  0.9144262606   0.7807094953   0.5753374104   
88       I1         2.570099175    4.334131983    0.8843081683   3.987217094    3.268934483    1.769588324    0.06347559222  0.4498695322   1.114527747    0.3004510878   
89       I1         1.785592975    2.74267134     0.4874378318   7.017982584    3.209174965    2.16871945     0.008074676689 0.4015738896   0.0955760969   0.2695085032   
90       I1         1.446126842    3.506979987    0.526658302    1.542269166    2.406040775    1.921241774    0.02044852274  0.0292425361   0.416226126    0.4633913665   
91       I1         2.231535246    3.038498826    0.2298275059   7.118624855    1.728736932    1.498324586    0.02160996852  0.9343554069   0.2675923488   1.367796512    
92       I1         1.5563423      2.940992295    0.9795937024   9.217650397    2.021685602    0.6277961079   0.03857514919  0.4663739615   0.6885967423   1.114533858    
93       I1         1.355868765    4.251213937    0.3239003841   9.671817098    1.293505062    2.038714769    0.11389792     0.801529505    1.035529688    1.390403451    
94       I1         1.980854117    3.735074175    0.8066091071   6.992921713    1.37185977     2.268313343    0.0593108029   0.6073063686   0.6515035488   1.705452346    
95       I1         1.214426209    4.068421291    0.1518104971   4.798964461    2.241168634    2.11031589     0.05756440177  0.6262683552   0.2538999338   0.5418926092   
96       I1         1.726046435    3.671081187    0.5808768799   4.001165434    3.224587603    1.372994435    0.07313301848  0.7975459506   0.8173697131   0.3885339267   
97       I1         2.259430362    3.059449679    0.2332132392   0.860902123    2.944944003    0.3357776212   0.08441841163  0.5117011114   0.08750636633  0.2638171855   
98       I1         2.104016156    3.55773209     0.3828402982   7.173850679    2.9118966      0.3565518354   0.06204712668  0.874574618    0.5951387229   0.3444385843   
99       I1         1.440934608    4.155648467    0.6564252747   3.782430276    1.12205674     0.2650815191   0.1415873434   0.151243955    1.065352096    1.702233962    
100      I1         1.136047534    2.805831257    0.3484845734   9.452573645    2.666280962    0.7823867631   0.1127055113   0.4595930305   0.5560898352   0.5203300511   
101      I1         2.314376697    2.528528489    0.1838472716   8.093420141    1.836978516    0.437627133    0.0399658779   0.8039015798   0.3730975699   1.167170104    
102      I1         1.336394339    4.112137624    0.5050246263   1.070356368    2.218038965    1.306269226    0.001260128134 0.2980720777   0.4046677542   0.6223087294   
103      I1         1.51928575     2.778420887    0.101792923    5.034623237    2.394185757    1.019835721    0.09819502241  0.4644153406   0.8027576419   0.3959965591   
104      I1         2.484835303    3.361637589    0.7768227551   9.262183006    3.419538922    1.079273987    0.03756278062  0.8981306124   0.5259355458   0.4087594601   
105      I1         2.633004722    3.009794435    0.3102496721   1.929713924    2.046143113    1.275862566    0.1334386651   0.6874271771   0.2932171179   0.9925953354   
106      I1         2.174533859    4.24155949     0.07914671067  8.13697614     1.303382478    0.2336984371   0.02852849577  0.1180206052   0.4334991344   1.643125941    
107      I1         2.164084269    3.825331428    0.1690601992   6.668392936    3.349541171    1.163760157    0.1407000014   0.4141695751   0.7258100143   0.4742459727   
108      I1         1.40748976     3.269857454    0.08409511252  3.548803977    1.507124563    0.05316545939  0.08363169233  0.7850792976   0.04360584002  1.312536004    
109      I1         2.207471669    3.696095569    0.959576483    7.554591966    2.558247824    1.801150454    0.1307055672   0.8689114632   0.4887972655   0.6160750263   
110      I1         1.817992494    3.421298897    0.1282105867   3.510554258    3.486869295    1.090107223    0.1323017535   0.8611070217   0.3336971099   0.3189030238   
111      I1         1.841522265    4.097849565    0.241758991    9.03470731     1.654667201    0.2225072453   0.08706012101  0.03738653241  0.7932392408   0.9743776249   
112      I1         1.028558637    4.395976659    0.892462806    0.7804949908   1.708535756    1.268531587    0.08055438924  0.9434592404   0.273629339    1.534387017    
113      I1         2.673053607    4.299857137    0.1609239027   5.407307661    3.409753172    1.691724949    0.04999638205  0.1088221765   0.9654476454   0.6470592536   
114      I1         2.536356129    2.94971948     0.200390285    4.52138942     1.480940627    1.750631578    0.07995046568  0.9766911337   0.615940334    1.800295281    
115      I1         1.221286098    3.091747092    0.9822357883   0.2099850582   2.574071343    0.8916733069   0.1024004455   0.979502498    0.8901847929   1.423251694    
