%eval_id interface log__t_efold_soil log__t_efold_karst f_exfiltration_soil PDD_melt_factor log__H0_pdm_soil log__fdd_threshold snow_insulation_k recession_b_soil recession_b_karst neg_kge        
1        I1         2.390483718    3.692617075    0.9117041212   6.530355773    3.197354727    0.275915598    0.03547913378  2.304392924    3.293805327    0.3006222294   
2        I1         2.115755904    3.020067921    0.8200926539   3.472139862    2.797769219    2.495219492    0.1373034318   2.333699221    1.658808668    0.2369386913   
3        I1         1.66579508     2.907100784    0.06656576261  0.6298177523   1.638446769    0.2131360897   0.005858547319 3.232824588    3.871504076    1.080398113    
4        I1         2.50468192     4.444794709    0.5079141114   5.056203602    3.013027381    2.677388137    0.03596113809  1.673553491    3.74222321     0.415569626    
5        I1         2.515934321    3.851414134    0.3355167219   7.228198565    1.940662996    1.179143481    0.08245133542  1.725224278    2.862423061    0.9046669247   
6        I1         2.283172998    3.233603688    0.8467527811   0.4439024378   1.545737052    1.53415626     0.1464060295   2.729120089    3.718730429    1.711369876    
7        I1         1.236901997    2.92345399     0.2089578086   2.852261451    2.451256275    2.757452028    0.04450342873  2.717505176    3.317721349    0.4934122893   
8        I1         1.15525955     3.488369412    0.2035802409   9.894516746    3.327675458    2.847394459    0.04052699267  3.490559283    3.3089765      0.6149991779   
9        I1         2.662053355    4.229627726    0.08736951318  5.694942135    1.325545665    0.7564261718   0.064201974    2.738241584    2.621280225    1.885080281    
10       I1         1.302137338    3.78829318     0.5611412147   2.756046349    3.163750544    1.980010656    0.05489706461  2.05805025     2.699631213    0.4515241104   
11       I1         2.631563387    4.17400561     0.758768983    8.178379648    1.814970212    1.81944132     0.14691093     3.284557048    1.56337004     1.077164329    
12       I1         2.370202853    4.476620445    0.2218144169   2.507284945    1.472590742    2.019271186    0.03456908868  2.705163991    2.241224232    1.526126678    
13       I1         1.372990647    4.279106544    0.02402960909  0.5148381013   2.855610018    2.147597979    0.1017755786   1.934243829    2.473622181    0.9165097502   
14       I1         1.862721522    3.949820751    0.4643679895   9.473516053    3.313795598    2.980413429    0.1049649774   2.831733285    3.807253561    0.4008072459   
15       I1         2.345442561    2.636536642    0.6889745238   0.5442024497   2.086854759    2.749921694    0.1115606803   2.911801312    2.160869321    0.8003624851   
16       I1         2.511396034    4.025314388    0.8113882099   9.402470267    1.529614483    1.883500078    0.08164750147  2.243068374    2.926876617    1.647485674    
17       I1         1.340152146    2.671844913    0.3676463919   7.860451058    3.035608735    1.911851559    0.02422123677  2.841144695    3.989187215    0.4172656006   
18       I1         1.615453797    2.87970511     0.9040988944   8.963357097    3.262617504    1.510356688    0.1069470298   3.145675003    1.984544181    0.6675571639   
19       I1         1.792924469    4.189910169    0.9751080515   7.038546648    2.74838412     2.931356019    0.09056209869  2.711916722    3.102653472    0.7254448431   
20       I1         2.095449208    3.535459893    0.1381446722   7.720914576    2.264316737    1.723537518    0.01787790468  3.324418855    3.051032456    0.4076237914   
21       I1         1.535269781    4.040173285    0.6365670813   5.673879639    3.000775693    0.8830090945   0.05341632766  2.497363397    3.631440375    0.3602382091   
22       I1         1.975950592    4.150026687    0.400512182    1.287616446    2.750343006    2.763252996    0.107259387    2.276115201    3.092673974    0.4084352567   
23       I1         1.944751552    3.520394664    0.6141247422   9.197663091    2.536189101    1.568241679    0.01960299896  3.843770872    2.650789514    0.4385651662   
24       I1         1.45797065     3.379469036    0.1987421265   5.43170614     3.019101867    1.465130537    0.01883403802  2.325856824    1.546093316    0.5201390639   
25       I1         1.013126128    2.933302108    0.4264992985   4.892884515    2.072164906    1.719654947    0.0973758899   3.656081998    2.061790584    0.6360773472   
26       I1         1.921021649    2.824876514    0.5753347279   6.222284026    1.63169216     2.530075828    0.1036996961   2.393607026    2.808796597    1.111102768    
27       I1         1.687080142    3.64820331     0.6496377459   5.36997952     3.482214741    0.7671652038   0.09500212468  3.725887387    2.292193032    0.4045395231   
28       I1         2.167821931    3.798781944    0.06935178189  2.7769461      2.25796207     2.721928601    0.1453952282   1.861768094    2.463722084    0.4143954231   
29       I1         1.130114072    4.382441872    0.8431180264   8.075067109    3.338747583    0.7025106732   0.06282746917  3.151543135    1.742355082    0.7454612305   
30       I1         2.089904313    3.409211214    0.1129324671   1.584028923    2.879844988    1.621749119    0.1195602502   2.163844808    2.194818668    0.6005120829   
31       I1         1.3501715      2.898175949    0.5696627217   2.891925863    2.371240352    1.36459773     0.008682032382 3.629949977    1.839640319    0.6123966345   
32       I1         2.475966423    3.990657858    0.5534769359   3.234673667    1.524696469    1.601719438    0.1301537977   2.807406288    2.775467618    1.642694292    
33       I1         1.395714096    2.690692715    0.1409515811   2.279544782    1.686690934    0.8626902762   0.08678170038  1.537282727    3.551362021    0.7753235256   
34       I1         1.010710877    3.101491135    0.0765070186   9.060572673    3.080371819    2.611092566    0.03646204102  2.116562279    2.390073433    0.8561969235   
35       I1         2.010439953    4.365189906    0.2583550677   8.398762718    2.152339422    2.474231474    0.0008552778441 3.584076775    3.935827194    0.5027881044   
36       I1         2.499934239    3.589662688    0.7259872373   7.93993325     2.689011606    2.543233006    0.05710600213  1.821232215    3.027910795    0.2532678277   
37       I1         1.24206557     3.28918967     0.5365189733   0.1769113734   2.709732812    1.032210426    0.1471054828   2.085006259    2.915898583    0.4977906962   
38       I1         1.572472806    4.487912498    0.791639623    9.290806578    2.597092677    0.5289672612   0.07288007373  2.742980294    2.957951715    0.5077871493   
39       I1         2.205239601    4.217247809    0.04744972561  1.014452211    1.537205327    0.8358146397   0.01674860846  3.312112862    2.721486276    1.488728725    
40       I1         2.289566797    3.84290054     0.09879715739  1.887791865    1.901236105    2.139053682    0.02355791378  2.152233814    2.754713997    0.823514575    
41       I1         1.23030736     4.263533686    0.7543288554   5.943912963    1.177098855    2.059132162    0.1230513002   2.072091987    1.695370672    1.446959016    
42       I1         2.198235502    2.954449181    0.1263474312   2.249918897    2.616891224    1.282237018    0.05211821586  2.233278122    2.281173197    0.3637779002   
43       I1         2.451218561    3.172312953    0.2668311274   1.104796521    1.962177663    2.252916831    0.07009086117  3.686761642    2.17784805     0.8139677192   
44       I1         2.026528753    3.975416801    0.2183917883   0.3255666208   2.358244509    2.099313077    0.05896662108  2.321997138    3.012889786    0.3919371333   
45       I1         2.440831827    3.099470384    0.3506061447   9.154519875    1.105205127    2.707680943    0.09374511853  2.437153458    3.45218765     2.1188742      
46       I1         2.328908169    4.144689943    0.8684441726   4.197736747    1.758632794    0.8092529093   0.06458258059  3.201188449    2.553157077    1.374054067    
47       I1         1.448248883    2.975463035    0.9203800255   2.531383436    1.00861831     1.104831343    0.1404722351   1.752843642    3.465461987    1.999139113    
48       I1         2.550647614    3.80899276     0.3959173938   2.317182403    3.43548336     1.581287851    0.009620750918 2.489544108    2.82933162     0.3824052128   
49       I1         1.419627759    3.084028095    0.988718817    9.581427455    1.446415472    2.279710228    0.06873411431  2.580113807    2.081041956    1.716844221    
50       I1         1.608026369    2.971723814    0.8520991582   9.508499215    1.150951853    1.973124858    0.1438532757   1.590845919    2.272540482    1.695996337    
51       I1         2.422002096    3.043160622    0.2433909221   0.9118954856   3.462008224    0.5472044675   0.1150234799   3.304449675    3.164614958    0.3957466493   
52       I1         1.36095806     3.137700111    0.651422557    4.233359989    2.776986422    1.631732487    0.1044387499   3.785560582    2.663546523    0.5008735888   
53       I1         1.957981942    2.722733063    0.2580693034   4.404323695    3.234140563    0.4641253486   0.03948204367  1.808054637    3.386035525    0.4463805971   
54       I1         1.553596247    3.661522358    0.7967770558   2.838477804    2.465852426    2.214498936    0.06107634863  3.816869924    3.329959343    0.6684498499   
55       I1         1.648138288    3.594813514    0.2134344194   4.678081359    3.108573553    0.5089844551   0.05975538021  1.580440081    3.4688138      0.5595252524   
56       I1         2.146335508    2.574738898    0.9675446237   4.483330246    1.439867681    2.698876829    0.122824631    3.297410481    2.25262018     1.886856239    
57       I1         1.117570384    4.162871325    0.3553098455   6.74857966     1.918425672    2.566400366    0.003394754834 2.267285865    3.522037241    0.6807942703   
58       I1         2.278140663    3.212217461    0.6257311488   6.083045783    3.169636811    2.324995802    0.04029515756  3.360353168    2.666763749    0.2039877755   
59       I1         1.877159204    2.99803649     0.358488549    5.846640824    1.27487813     2.441867073    0.08843731219  2.169988901    2.346982955    1.523962985    
60       I1         1.067752423    2.561105748    0.7712621563   5.805738367    2.695654305    2.363411941    0.01513097557  2.852832246    3.845325337    0.7113370026   
61       I1         1.411379407    3.240139305    0.4092313068   2.715494276    3.445103885    0.3263976803   0.1440162006   2.145028268    2.243625674    0.4724108235   
62       I1         1.83489634     4.453329428    0.2512428279   4.73291236     2.974863686    2.685000627    0.0812636623   3.933414177    2.101225669    0.6005358904   
63       I1         1.388119901    3.418420474    0.545684043    1.436661897    3.319114535    2.387401229    0.1291888112   1.899156411    3.597120418    0.4381421273   
64       I1         2.250696324    3.356414946    0.8265532606   6.414013601    2.382037405    2.621619377    0.01494135697  3.368630388    3.575615285    0.5601443439   
65       I1         1.900518864    2.50588423     0.01987104104  3.947583228    1.025927462    1.748765178    0.01717460347  3.896018735    1.905820039    2.110928299    
66       I1         2.34120002     3.772903279    0.784607915    3.453847976    1.75145315     2.97861691     0.08012883658  2.859493885    3.493788127    1.298992483    
67       I1         1.017740675    3.014512467    0.5206531373   0.3794033731   2.036095205    1.29244494     0.05147925416  2.002462384    1.586523207    0.7233908877   
68       I1         2.015604476    3.3880327      0.870526132    5.332589335    2.888279436    2.100051206    0.01109627483  2.412816022    3.851120468    0.3632075223   
69       I1         1.740563043    3.916633348    0.9271647848   1.96484778     1.3349751      0.6580928671   0.07553646231  3.269704454    3.920327635    1.919204472    
70       I1         2.001021493    3.196216434    0.6392585031   4.540892924    1.667654315    2.905630386    0.1346089076   3.182615667    3.796902336    1.214266505    
71       I1         2.464753117    3.25755696     0.2787708775   2.389648818    1.238420689    2.779878487    0.1266638993   1.527055018    2.359974058    1.79191413     
72       I1         1.487877155    3.028138083    0.4704067544   4.609512709    1.608363807    0.9915488433   0.1359590119   3.549013371    2.762896647    1.110783437    
73       I1         1.192144908    2.699058015    0.3792242899   9.994476062    1.977510326    2.061751914    0.04626192783  3.135278735    1.508719621    0.6284839877   
74       I1         2.383075573    3.834027363    0.7986998212   5.911272733    3.123081186    0.7488088268   0.05528032943  2.240149438    1.600946113    0.2246453285   
75       I1         1.662142075    4.434247581    0.1592680332   5.219617476    2.774119057    2.66482792     0.06532171238  2.942475446    2.36906212     0.6794312154   
76       I1         2.679905971    3.561123879    0.7685437061   1.601523929    3.143089772    2.6069846      0.03382598092  1.95518191     1.653129282    0.3087327698   
77       I1         1.624184373    3.937053065    0.1557264435   8.484580848    2.526603353    1.84108438     0.1087771689   3.450141632    1.533197909    0.5861963302   
78       I1         1.367787761    4.340006431    0.9090711576   1.21687323     2.146468633    2.452882764    0.1222234057   3.795816011    2.730920175    1.091786147    
79       I1         2.318362611    2.623863145    0.1775178019   7.634728321    2.493332816    0.6798772637   0.1146199713   3.058012703    1.957967183    0.3373360347   
80       I1         1.130485142    3.581341495    0.5998100814   4.190495188    1.723235656    2.232011366    0.02213761153  3.46108724     3.016930562    0.9771582319   
81       I1         1.925710618    3.801300663    0.1361219754   1.35251921     2.297200661    2.34008766     0.08510793925  1.985167692    3.306422862    0.4191709053   
82       I1         2.448286095    3.370824246    0.04564759294  1.462707619    2.998655887    1.199399624    0.1034858414   2.771710607    3.876391892    0.4592644306   
83       I1         1.548020555    4.061261418    0.4791978633   0.8260366477   3.252204387    2.788460005    0.1256033438   2.46069881     2.337538909    0.472312231    
84       I1         2.081827444    4.409835728    0.9286045323   6.586008373    3.13509765     2.204837447    0.138338759    1.629239927    1.63719089     0.3229374833   
85       I1         1.485629004    2.704478325    0.7061470519   8.524852709    1.571553906    0.01162295839  0.08606677491  2.259287404    3.839908048    1.167920981    
86       I1         1.746500615    3.227980779    0.9706041785   7.759167438    2.758841334    2.967577347    0.09109090936  1.996207623    3.072069532    0.5483275822   
