%eval_id interface log__t_efold_soil log__t_efold_karst f_exfiltration_soil PDD_melt_factor log__H0_pdm_soil log__fdd_threshold snow_insulation_k recession_b_soil recession_b_karst baseflow_Q     neg_kge        
1        I1         2.511396034    2.94971948     0.7011329494   5.694942135    1.491200356    2.519998626    0.1288272687   2.362549122    2.332695623    0.3210987794   1.254178827    
2        I1         1.143318514    3.568702518    0.1263474312   7.577552967    2.709732812    2.045497295    0.1179701646   3.98587076     3.230452096    0.4170710012   1.183927253    
3        I1         1.726046435    2.963948278    0.6588747364   8.484580848    2.011992585    1.056264736    0.01674860846  1.928491502    2.754713997    0.4972870047   1.229008696    
4        I1         1.93714383     3.278168673    0.2787708775   3.740235331    2.486688177    2.061751914    0.1340296483   1.623376182    3.434953736    0.3924526162   1.017798697    
5        I1         1.24206557     3.78829318     0.2621772818   5.219617476    3.495797662    0.7290587259   0.1146199713   3.843770872    3.953884057    0.1447679935   0.738281564    
6        I1         2.383075573    2.792870019    0.7043578125   8.075067109    3.13509765     2.914940838    0.1164302559   3.278143438    2.429977544    0.1960237842   0.5642132573   
7        I1         2.464753117    3.059449679    0.5854480101   5.332589335    1.37185977     2.847394459    0.1061370213   3.708521763    3.219770215    0.1531065272   1.227961602    
8        I1         1.648138288    3.929424073    0.7967770558   4.73291236     1.163049099    0.8112910144   0.0008552778441 1.881929179    3.092673974    0.04531707468  1.494828904    
9        I1         1.262511647    3.620247636    0.9675446237   9.671817098    3.30677377     2.788460005    0.002764105817 2.651304808    3.002174394    0.3713694164   1.059706903    
10       I1         1.499907384    3.014512467    0.1282105867   1.929713924    3.030429801    0.5726606654   0.1230513002   2.660588461    2.533378131    0.09197891006  0.6753679107   
11       I1         2.015604476    3.25755696     0.7784345942   1.41121099     1.246293575    0.5289672612   0.03690582583  3.816869924    2.857431935    0.1040561608   1.369800588    
12       I1         2.179476688    4.257561411    0.226241653    4.798964461    2.334074611    2.220477582    0.09888780004  2.841144695    1.718766099    0.3939869126   1.010478819    
13       I1         2.58843912     3.998650508    0.2218144169   8.582183393    2.241693435    1.510356688    0.02422123677  3.059837649    2.302833221    0.2857545989   0.8114068707   
14       I1         2.024356168    4.185120593    0.6392585031   9.558525774    1.962177663    0.4248659025   0.1150234799   3.778161532    2.061790584    0.3175035197   0.991043989    
15       I1         2.370202853    3.222474213    0.3707704154   1.542269166    1.414761457    0.4478079514   0.147721456    3.800972205    1.826378701    0.257315132    1.226678995    
16       I1         1.044349805    3.735074175    0.1643526112   0.6298177523   1.746690328    2.525969756    0.007217440345 2.381122969    1.621680314    0.01413344587  0.8082788845   
17       I1         1.969443469    3.05196134     0.9090711576   6.810519594    2.406040775    2.43624943     0.056350559    3.182615667    2.120480144    0.3014016279   0.8255062772   
18       I1         2.608649771    2.662490803    0.8647982802   7.597962029    2.056846089    2.288660339    0.04029515756  3.341516475    1.757371307    0.1014939756   0.6887094009   
19       I1         2.662053355    4.092156454    0.5941336885   0.2099850582   1.918425672    2.185054212    0.1307055672   3.490559283    3.718730429    0.4766980015   1.18200192     
20       I1         1.957981942    4.390829881    0.816280494    6.071087486    1.325545665    1.29244494     0.004779192958 2.831733285    2.435537304    0.03645036988  1.458136769    
21       I1         2.231535246    3.728736281    0.5647162795   7.173850679    2.677141229    1.438350141    0.1094759222   3.37656138     3.344886835    0.1065756718   0.4480391897   
22       I1         1.535269781    3.984981332    0.6842847913   1.66206463     1.739699897    0.1946785742   0.1166984814   2.729120089    3.58649649     0.2785738996   1.079308619    
23       I1         1.293718556    3.677499404    0.8843081683   2.249918897    1.728736932    0.3357776212   0.07402688179  2.717505176    3.262792067    0.1194957186   0.9818640842   
24       I1         1.5563423      3.3880327      0.833652634    8.093420141    2.667210267    1.130821886    0.1334386651   1.537282727    2.78845671     0.2803594062   0.8390781031   
25       I1         1.844801891    3.561123879    0.4607081312   0.269919655    2.036095205    0.8511505259   0.01380381433  2.524156873    3.168902163    0.2378825303   0.8285356026   
26       I1         1.495748023    4.17400561     0.7444982186   5.127866693    2.818463437    1.643819406    0.1414414443   1.981663572    2.77216353     0.4637960823   1.120691967    
27       I1         1.944751552    3.147787021    0.06656576261  8.178379648    1.250377748    0.2491815813   0.1378414459   3.269704454    3.522037241    0.1862945151   1.30297263     
28       I1         2.218732135    2.778420887    0.8975694465   5.805738367    1.472590742    1.750631578    0.0716988797   2.471433464    1.586523207    0.03199278514  1.395416614    
