%eval_id interface log__t_efold_soil log__t_efold_karst log__t_efold_deep f_exfiltration_soil f_exfiltration_karst PDD_melt_factor log__fdd_threshold snow_insulation_k recession_b_soil recession_b_karst et_scale       neg_kge        
1        I1         1.15525955     4.251213937    4.34905553     0.368880236    0.9087467498   2.073431759    1.831177562    0.1360803958   3.571421125    3.988236545    1.537806295    0.5223108978   
2        I1         2.515934321    4.476620445    3.700436094    0.06021600091  0.2239289244   6.315550258    2.498217762    0.01736587268  5.660586855    4.090948434    1.284661429    0.8232159531   
3        I1         2.259430362    3.913315232    3.862530359    0.2011009297   0.3045696348   8.703049179    2.138940596    0.08654852679  4.306512478    3.715988767    1.582380171    0.9685740726   
4        I1         1.900518864    2.87970511     3.586580249    0.9711978667   0.6396143959   7.585434032    1.868333832    0.004430687288 2.616864259    4.663107622    1.320486018    0.849628086    
5        I1         1.930764125    3.370824246    4.22693424     0.1946010934   0.3700228634   5.581352577    1.577793398    0.0122955328   4.652189693    5.150457654    0.6937501895   0.5047451097   
6        I1         2.198235502    3.468506529    3.640499372    0.2887668062   0.2375262317   7.03016898     0.8844878752   0.04399668734  4.028972105    3.321422378    1.367134316    0.8362923943   
7        I1         2.0490471      3.214191618    3.711581441    0.1423160262   0.8255057529   5.870925088    1.897851405    0.08268209967  5.037831576    4.70942489     0.6491708928   0.6646652362   
8        I1         1.287468238    4.040173285    4.021335936    0.9575132077   0.3331156004   3.558779445    1.306434248    0.09811672409  5.604046115    3.617902917    1.177539464    0.750460267    
9        I1         1.769000019    2.852555263    3.931671953    0.3947952275   0.3128979224   5.814931171    2.52247277     0.04516243601  2.175632341    3.420727826    0.7746762714   0.6345925581   
10       I1         1.214426209    3.073276905    4.734102797    0.9534866534   0.7054546704   3.486612735    1.844111533    0.10095694     5.592213624    3.176650636    1.094185245    1.036919817    
11       I1         2.318362611    3.735074175    4.354930306    0.5394486182   0.1685791455   9.849586199    0.05528211635  0.097276535    5.916991303    4.580985366    0.8023609242   0.359476968    
12       I1         1.851278613    3.084028095    3.728471479    0.7968582963   0.1790726062   5.618450393    2.880324012    0.01102040175  5.361414229    5.239094358    1.633302221    0.7740045917   
13       I1         2.179476688    3.418420474    3.515108736    0.2506824008   0.9023741      3.585673627    1.097941292    0.02518197987  4.338839537    1.552141668    1.839464515    1.279422952    
14       I1         2.499934239    4.092156454    3.907005807    0.3205776368   0.4123488404   6.48335404     2.175543378    0.002558928744 4.972361058    3.439871954    0.6543375428   0.6141781438   
15       I1         2.242088596    2.842019916    3.751223135    0.4191608878   0.3148766168   2.596206367    2.746068637    0.05622920748  2.253084653    5.434585111    1.081879467    0.6845400125   
16       I1         1.147936518    3.250364477    4.146921329    0.4929807404   0.4852475744   0.701920532    1.527801111    0.03136666695  4.45943644     5.892209486    0.5163069615   1.073989751    
17       I1         1.648138288    2.758630195    4.014958333    0.9014394052   0.6631821369   5.955674479    0.4711582756   0.04738531147  5.993812069    5.185897075    1.330931524    0.6482660335   
18       I1         2.656310536    3.711987165    4.707193604    0.1350522446   0.5565208168   0.803349096    1.166910396    0.09268999003  4.291858421    5.626523964    1.494199601    1.341177628    
19       I1         1.010710877    3.866116323    4.619123045    0.8392264346   0.2087928288   3.161734854    1.668531138    0.05556433279  2.329718298    1.587698981    1.415982522    0.6141660682   
20       I1         2.52491466     4.444794709    3.618422724    0.2089163743   0.9684807231   9.688580275    2.576545374    0.09596376834  5.192451638    4.023234656    1.038544001    0.6419128281   
21       I1         2.336678545    4.114596837    4.844439618    0.05106478175  0.2536875913   5.133200276    1.059015923    0.1340964609   2.838526214    5.732913396    1.512429847    1.469105626    
22       I1         1.09845222     3.685852099    3.680934571    0.8314936832   0.03002443055  6.953071345    2.408380679    0.04440896626  4.715926388    1.801377794    0.8556880736   0.6563386584   
23       I1         2.448286095    3.594813514    4.128173892    0.1985720714   0.5611679837   7.310678901    2.379123475    0.1087267717   2.283070098    4.729957462    1.782539388    1.171939497    
24       I1         2.188799289    2.781749931    4.578774884    0.0138220575   0.2602711335   9.218734886    1.925598564    0.09968766467  3.918613877    1.732474361    0.9950297864   1.078292945    
25       I1         2.274434238    2.792870019    3.630724622    0.8261550649   0.6746964876   7.187073331    2.099299549    0.03870169607  1.851667209    3.038939757    1.016699706    0.5664110643   
26       I1         1.017740675    3.949820751    3.731005974    0.7426416074   0.05784624219  4.563016676    0.2188061628   0.08782759265  5.493714771    4.468287461    1.937650676    0.8220275887   
27       I1         1.950014581    2.50588423     4.018088633    0.9243459712   0.2156810159   2.891081887    2.592730726    0.06144941238  4.919866786    3.972521457    1.832902356    0.7725192211   
28       I1         1.460345995    3.78829318     3.960204839    0.4342557839   0.2877460165   8.158161341    0.9034729727   0.009319734087 4.834032925    2.741767657    1.990726495    0.7523936931   
29       I1         1.395714096    3.182520664    4.105097614    0.8644663599   0.2999623596   6.296109337    1.874902371    0.08046868171  5.437265309    5.023128608    0.9313667101   0.6118291488   
30       I1         1.862721522    4.144689943    4.656688424    0.2366521052   0.2176088771   0.4714102173   2.987872678    0.03271501446  4.139645229    4.99578614     0.9885794624   0.8164845583   
31       I1         1.969443469    2.526087611    3.766092763    0.7643935641   0.805928482    3.783799195    2.998086719    0.1058008918   2.906111754    3.092526302    1.086643827    0.3571599939   
32       I1         1.143318514    4.212617102    3.806135625    0.6177638289   0.8329797208   8.893932136    0.5485266905   0.09488914473  5.88448895     4.047767397    1.902432245    0.7340887757   
33       I1         1.980854117    3.49614958     4.629560838    0.5540566055   0.9848527638   1.683142635    1.688368233    0.09432899781  3.836932158    5.812727639    1.433267093    0.8085197226   
34       I1         1.005267824    3.421298897    4.889923412    0.4496035419   0.2025505396   4.78116836     2.229455257    0.04458410244  4.058260008    5.045882213    1.975752886    1.078180485    
35       I1         1.860758497    3.659819566    4.210760386    0.5748104646   0.03786302582  3.831712223    2.365517818    0.1010513002   1.535487244    4.526735193    0.7918907658   0.528318815    
36       I1         1.130114072    3.038498826    4.164323104    0.4832078674   0.9527122088   4.365068302    0.7095826756   0.04955140944  4.645742643    4.503707586    0.6597355229   0.8568073051   
37       I1         1.6059263      3.561123879    4.838226788    0.1448942896   0.2819903394   6.165109595    0.9370100619   0.1380583323   2.302271959    2.154828618    1.519844428    1.084364757    
38       I1         2.283172998    3.705198187    3.988401344    0.01761344909  0.2340491312   4.247479126    0.5350325543   0.05175294729  2.689564777    3.188956551    0.6071941726   0.9393349179   
39       I1         2.483188645    3.970689271    4.46315077     0.5316747404   0.6084285145   6.104156355    1.535236729    0.03390316697  3.476811829    5.87081602     0.6296593819   0.48345386     
40       I1         1.925710618    2.954449181    4.895590538    0.6558531331   0.3294683232   4.727184153    0.3805505836   0.00632673342  5.478477097    1.978374042    1.411044319    1.115049088    
41       I1         2.040856682    2.975463035    4.823310104    0.2578996488   0.6908226698   5.524604038    0.2318342026   0.05286737815  1.655741773    2.575461468    1.69309386     1.21666352     
42       I1         1.6989671      3.500850289    3.772429689    0.7362907138   0.09428000369  9.65776003     1.953344194    0.08939721633  1.873273796    2.503061192    1.679982664    0.7086639361   
43       I1         1.740563043    2.886667382    4.595898833    0.7479293057   0.15576903     2.715362389    1.269511844    0.07230983945  5.847603335    2.09099043     1.45590586     0.9271631034   
44       I1         1.329635181    3.76354968     4.065139219    0.3637232882   0.9310201391   0.5941868708   2.048008909    0.0157743658   4.595586387    2.257332246    1.238355567    0.4896953262   
45       I1         1.731569625    3.379469036    3.652058014    0.7102397642   0.979447786    6.61131203     1.105606589    0.0987405002   3.302417531    5.357466578    0.6103744502   0.6974613549   
46       I1         2.58843912     3.480112307    4.934792499    0.8742615238   0.8014879318   8.569121207    1.55345136     0.1161062427   2.230476069    3.158784361    1.46667168     1.423096456    
47       I1         1.278399449    3.661522358    4.182054792    0.3534372038   0.5671904152   7.990311883    0.5999280532   0.03699373672  5.732016843    4.478728908    0.869308885    0.5111749763   
48       I1         2.370202853    2.646811393    3.717056883    0.6578579263   0.06784710513  0.1747179927   0.5705699155   0.08335720518  5.34319045     2.560227634    1.685678912    1.161242722    
49       I1         2.024356168    3.398219087    4.572368501    0.1717771929   0.8833437898   6.352420219    0.6006704941   0.1039694753   2.451235913    5.560474976    1.444521161    0.9191405133   
50       I1         1.569678216    3.929424073    3.893108868    0.08532162429  0.2851235629   4.019669975    1.068326553    0.1312056985   5.812190226    5.400270513    0.5133504617   1.050778169    
51       I1         2.134442838    4.334131983    3.670207533    0.668142229    0.6290082472   5.656863288    0.7638133234   0.03613948145  1.500436929    3.290628017    0.8124989401   0.4904623467   
52       I1         1.274491319    3.829369201    3.885985635    0.9569122946   0.3931840479   6.59679333     2.45649262     0.1414284564   2.777990971    5.0772281      1.508143129    0.468926602    
53       I1         2.035763744    3.84290054     4.119314366    0.5167904168   0.9077946181   1.857627286    1.240942534    0.1104909885   4.504023894    2.767760616    0.8423928741   0.3968265407   
54       I1         2.408819711    3.618028139    4.63927886     0.5665403297   0.7855111937   5.567548951    0.4918380509   0.006856686247 3.600174747    2.657424549    1.264229445    0.8758625581   
55       I1         1.61770235     3.115081163    3.513992575    0.1586357021   0.6635464248   4.60317251     2.231213606    0.1458428686   5.013937771    3.001097041    1.301094205    0.7135232733   
56       I1         1.3501715      3.163309721    3.50148044     0.1205591682   0.3850713039   8.62880349     2.831746868    0.1148664458   2.038314198    4.272890488    1.717191559    0.8444723351   
57       I1         2.174533859    2.92345399     4.683484523    0.04631572826  0.320086903    6.124559585    0.62291815     0.01517061853  3.360080636    4.320708736    1.451065915    1.110531901    
58       I1         2.289566797    4.279106544    4.254639916    0.1156888522   0.4692989556   4.934930773    0.06789509667  0.06316804598  2.608979605    4.22701332     1.250489302    0.8776058174   
59       I1         2.484835303    3.589662688    4.860737851    0.2294786622   0.6961344583   5.162715657    2.928120589    0.0002529546357 5.689881938    2.545720863    1.972081023    1.383400921    
60       I1         1.886805977    3.448328167    4.988116002    0.1397966434   0.5895334026   1.502057478    2.809444702    0.0189179471   2.871364781    2.802911941    0.5581970063   0.7158301293   
61       I1         1.40748976     3.361637589    4.510456334    0.6853682706   0.813832477    2.631645173    2.283839803    0.1204065959   5.563022971    5.614978761    1.662848732    0.7101488353   
62       I1         2.39721588     3.073491358    4.168677946    0.09506460568  0.5857182627   8.24717916     0.999927641    0.02570949011  2.810328966    4.949310829    1.155713428    0.7367244434   
63       I1         2.082954783    3.17860536     4.305896388    0.5353698492   0.6515158266   2.653942694    0.7292408204   0.1366896919   2.750673602    5.947010867    0.8502506569   0.3002108108   
