%eval_id interface log__t_efold_soil log__t_efold_karst log__t_efold_deep f_exfiltration_soil f_exfiltration_karst PDD_melt_factor log__fdd_threshold snow_insulation_k recession_b_karst et_scale       neg_kge        
1        I1         2.511396034    2.94971948     4.557856555    0.5638427568   0.2025505396   8.415995466    2.576545374    0.05175294729  2.998852121    1.463296338    1.211152409    
2        I1         1.143318514    3.568702518    3.678082803    0.7502022129   0.6802152624   6.850141074    2.359403291    0.1491522456   4.614813773    1.751213004    0.4470417317   
3        I1         1.726046435    2.963948278    4.493175617    0.8399888113   0.4067010932   3.585673627    0.3349721691   0.02570949011  3.758485195    1.991861014    0.9187149536   
4        I1         1.93714383     3.278168673    3.911383996    0.3703465277   0.5927817656   6.903781316    2.680592967    0.00740257091  4.982916725    1.677357849    0.8043031698   
5        I1         1.24206557     3.78829318     3.885985635    0.5167904168   0.9883526835   2.505893795    2.292399425    0.1406262523   5.916991303    0.9343039805   0.4261105773   
6        I1         2.383075573    2.792870019    4.56279257     0.7994510876   0.8469582789   9.719304767    2.328605118    0.1066886063   3.173959579    1.088071352    0.680486182    
7        I1         2.464753117    3.059449679    4.380787771    0.5279734897   0.15576903     9.496401716    2.122740425    0.1325113058   4.595586387    0.9593195816   0.6630901984   
8        I1         1.648138288    3.929424073    4.704250596    0.4686115266   0.07391524674  2.777260348    0.01710555688  0.02291575075  4.366813154    0.635951224    0.2685217493   
9        I1         1.262511647    3.620247636    4.965629526    0.9575132077   0.9142553178   9.301918015    0.05528211635  0.06907828848  4.20391391     1.614108249    0.8834704636   
10       I1         1.499907384    3.014512467    3.680934571    0.1911231965   0.805928482    1.989780196    2.461026005    0.06963530766  3.360080636    0.7759367302   0.7063936542   
11       I1         2.015604476    3.25755696     4.676175399    0.1397966434   0.1065470813   1.845591962    0.7381165165   0.1390121954   3.943377483    0.8121684823   0.7459329711   
12       I1         2.179476688    4.257561411    3.830982122    0.4751500174   0.5329572475   7.427576021    1.977756001    0.08046868171  1.893778979    1.681960738    0.9944461305   
