%eval_id interface log__t_efold_soil log__t_efold_karst log__t_efold_deep f_exfiltration_soil f_exfiltration_karst PDD_melt_factor log__fdd_threshold snow_insulation_k et_scale       neg_kge        
1        I1         2.390483718    3.692617075    4.880159369    0.6465402684   0.871363053    1.010521473    0.7095826756   0.04826357544  1.576283196    1.430522537    
2        I1         2.115755904    3.020067921    4.739937736    0.3438077843   0.714725534    8.334224322    2.746068637    0.05002195325  0.5952852005   0.7478877925   
3        I1         1.66579508     2.907100784    3.586580249    0.06244660579  0.2602711335   0.803349096    0.1171709464   0.1039694753   1.922902446    1.087321181    
4        I1         2.50468192     4.444794709    4.262113436    0.5006140939   0.7991067335   8.935380853    0.7192227618   0.01041320944  1.845333926    1.152786321    
5        I1         2.515934321    3.851414134    3.99823988     0.7156196559   0.3787398946   3.991173488    1.649026708    0.0135134567   1.317453837    0.8563705458   
6        I1         2.283172998    3.233603688    4.780744053    0.04404286758  0.2239289244   5.162715657    2.928120589    0.07374720535  1.831238257    1.63394335     
7        I1         1.236901997    2.92345399     3.804527258    0.282446083    0.5788924596   9.199591692    0.8900685746   0.07305031055  1.59063281     0.5550154296   
8        I1         1.15525955     3.488369412    3.796296287    0.9795582233   0.9224487796   9.496401716    0.8105398535   0.119433557    1.5853859      0.4997629637   
9        I1         2.662053355    4.229627726    3.618422724    0.5638427568   0.1376139005   2.596206367    1.28403948     0.07429449506  1.172768135    1.016663916    
10       I1         1.302137338    3.78829318     4.343583492    0.2729217598   0.8581902132   6.634035164    1.097941292    0.03348301499  1.219778728    0.434205849    
11       I1         2.631563387    4.17400561     4.646074974    0.8096779854   0.3294683232   6.104156355    2.938218601    0.1070734229   0.538022024    0.7709923762   
12       I1         2.370202853    4.476620445    3.82420574     0.2482968935   0.1952555708   6.763594913    0.6913817737   0.07230983945  0.9447345395   0.7001488869   
13       I1         1.372990647    4.279106544    3.521473891    0.05106478175  0.7373991272   7.187073331    2.035511573    0.02605462976  1.084173309    0.6002522039   
14       I1         1.862721522    3.949820751    4.195461208    0.9378834073   0.9170078746   9.935364316    2.099299549    0.0799039971   1.884352137    0.805583842    
15       I1         2.345442561    2.636536642    4.53924672     0.05397155562  0.4360470655   9.174741589    2.231213606    0.08470807871  0.8965215925   0.9624831027   
16       I1         2.511396034    4.025314388    4.726614607    0.9308505921   0.2176088771   6.315550258    1.632950029    0.04458410244  1.35612597     1.174442967    
17       I1         1.340152146    2.671844913    4.047417947    0.7782062663   0.807958624    6.409110143    0.4844247353   0.08046868171  1.993512329    0.5348914533   
18       I1         1.615453797    2.87970511     4.868518716    0.8873828238   0.8969460614   5.08417707     2.138940596    0.0987405002   0.7907265088   0.2706813236   
19       I1         1.792924469    4.189910169    4.977206201    0.6968460319   0.6953665752   9.773474863    1.811241974    0.07271500332  1.461592083    0.9663275032   
20       I1         2.095449208    3.535459893    3.696139804    0.7643935641   0.5056121611   5.787673809    0.3575580936   0.1094651313   1.430619474    0.8459980608   
21       I1         1.535269781    4.040173285    4.459031247    0.5617577824   0.7943040718   3.013930012    1.068326553    0.05984180384  1.778864225    0.706844131    
22       I1         1.975950592    4.150026687    4.097722728    0.127562032    0.6961344583   9.218734886    2.145187741    0.04656691204  1.455604385    0.9563579443   
23       I1         1.944751552    3.520394664    4.424680728    0.9105767505   0.6121861275   5.275197541    0.3920599792   0.1406262523   1.190473708    0.5382082228   
24       I1         1.45797065     3.379469036    3.78889101     0.5377850523   0.8014879318   4.934930773    0.3766807604   0.04955140944  0.5276559895   1.011734974    
25       I1         1.013126128    2.933302108    4.137498926    0.4844471541   0.4302886432   5.774861325    1.947517798    0.1293649199   0.8370743502   0.5515987926   
26       I1         1.921021649    2.824876514    4.365308257    0.6160442773   0.2576233267   8.449250233    2.073993922    0.05361642155  1.285277958    0.6842921618   
27       I1         1.687080142    3.64820331     4.479037366    0.5316747404   0.9830281785   2.631645173    1.900042494    0.1335532432   0.9753158195   0.4193534849   
28       I1         2.167821931    3.798781944    3.590844564    0.2749906241   0.5031211313   9.082364385    2.907904564    0.02170608563  1.07823325     0.79225654     
29       I1         1.130114072    4.382441872    4.775180653    0.7994510876   0.9267890524   2.418285222    1.256549383    0.09909258809  0.6454130494   0.7349941105   
30       I1         2.089904313    3.409211214    3.657549695    0.1569038732   0.7468992355   5.451772094    2.391205003    0.03983068847  0.9168912005   0.7706657044   
31       I1         1.3501715      2.898175949    4.356626615    0.2863724592   0.5475262182   4.60317251     0.1736406476   0.1277969986   0.7037841911   0.5989302512   
32       I1         2.475966423    3.990657858    4.331852453    0.3203010297   0.2156810159   5.385674145    2.603075954    0.07844437726  1.265280571    1.053576747    
33       I1         1.395714096    2.690692715    3.700436094    0.2257529178   0.279182846    2.946877912    1.735634008    0.002236963628 1.730817213    0.6248254439   
34       I1         1.010710877    3.101491135    3.601796457    0.8970061838   0.8255057529   8.716605469    0.7292408204   0.03699373672  1.03404406     0.593923432    
35       I1         2.010439953    4.365189906    3.880135308    0.8314936832   0.4617170534   8.264963864    0.01710555688  0.1250446065   1.961496317    0.921808897    
36       I1         2.499934239    3.589662688    4.595898833    0.7860742005   0.6720925495   8.49266892     1.142120043    0.01927393289  1.416746477    1.118918264    
37       I1         1.24206557     3.28918967     4.305896388    0.01761344909  0.6802152624   3.506294406    2.942109655    0.03510037557  1.34953915     0.9570525014   
38       I1         1.572472806    4.487912498    4.696387178    0.9197970148   0.6360603293   1.845591962    1.457601475    0.07457881763  1.374771029    0.7218023707   
39       I1         2.205239601    4.217247809    3.557321009    0.100521532    0.220584488    2.858188311    0.3349721691   0.1087267717   1.232891765    1.019193541    
40       I1         2.289566797    3.84290054     3.635914016    0.1869733362   0.3632845532   7.15887715     0.4711582756   0.03913402883  1.252828398    0.9246986436   
41       I1         1.23030736     4.263533686    4.63927886     0.588488354    0.07942275114  6.895136135    2.461026005    0.03432551924  0.617222403    0.3433046953   
42       I1         2.198235502    2.954449181    3.678082803    0.2228202545   0.6438213597   4.331382158    1.042364317    0.04399668734  0.968703918    0.6035265924   
43       I1         2.451218561    3.172312953    3.893108868    0.1094647061   0.3871736439   7.534625544    1.401817223    0.1312056985   0.9067088299   0.9132195196   
44       I1         2.026528753    3.975416801    3.818967023    0.03232881701  0.5424318474   7.027733153    1.179332422    0.0493198283   1.407733872    0.9192531569   
45       I1         2.440831827    3.099470384    4.021335936    0.9063060078   0.05124040972  9.035347113    1.874902371    0.05622920748  1.67131259     0.9839910546   
46       I1         2.328908169    4.144689943    4.813945162    0.4156345467   0.3073840553   2.770534601    1.291651612    0.1020713069   1.131894246    1.011438994    
47       I1         1.448248883    2.975463035    4.893438814    0.2506824008   0.01337837752  3.745943433    2.809444702    0.01517061853  1.679277192    1.320825276    
48       I1         2.550647614    3.80899276     4.090689889    0.2294786622   0.964709477    5.318249909    0.1924150184   0.05937264649  1.297598972    0.9527361306   
49       I1         1.419627759    3.084028095    4.998039006    0.9485655461   0.1849948652   7.623043751    1.374682286    0.06480682841  0.8486251739   0.5770103354   
50       I1         1.608026369    2.971723814    4.788927283    0.941346387    0.06917312631  6.61131203     2.877065513    0.005450755143 0.963524289    0.4313356123   
51       I1         2.422002096    3.043160622    3.857231003    0.0903694521   0.9751072237   1.905774743    2.300469598    0.1082669805   1.498768975    1.162767758    
52       I1         1.36095806     3.137700111    4.48176922     0.4191608878   0.7065786773   5.484717207    2.088774999    0.1371336349   1.198127914    0.4801304702   
53       I1         1.957981942    2.722733063    3.879697913    0.4360845678   0.8857831008   1.63161365     0.7896408734   0.0184832782   1.631621315    0.823188136    
54       I1         1.553596247    3.661522358    4.704250596    0.2810816412   0.5846141512   7.407846489    1.221526973    0.1390121954   1.597975606    0.8629726927   
55       I1         1.648138288    3.594813514    3.811379213    0.4631838113   0.836560833    1.779648702    1.195107604    0.004826404837 1.68128828     0.6770436357   
56       I1         2.146335508    2.574738898    4.965629526    0.4439054183   0.182428131    9.006293536    2.45649262     0.1078446289   0.9515721078   0.8408496769   
57       I1         1.117570384    4.162871325    4.028535478    0.668142229    0.3700228634   8.569121207    0.06789509667  0.04603715189  1.713222345    0.4240416791   
58       I1         2.278140663    3.212217461    4.442445636    0.6022610977   0.8604976298   7.772486148    0.8059031511   0.1116211901   1.200058249    0.7462529857   
59       I1         1.877159204    2.99803649     4.03340084     0.5788593947   0.1177522271   8.158161341    1.768746244    0.04019933409  1.008189773    0.3930345958   
60       I1         1.067752423    2.561105748    4.665197178    0.5748104646   0.6746964876   7.899259404    0.3026195115   0.08116993474  1.907195202    0.6113513851   
61       I1         1.411379407    3.240139305    4.111068327    0.2689075142   0.9684807231   1.177112345    2.880324012    0.03870169607  0.9461754045   0.7133653736   
62       I1         1.83489634     4.453329428    3.869249226    0.4686115266   0.7841465648   8.960502068    1.625273246    0.1460048506   0.8607354012   0.5607918295   
63       I1         1.388119901    3.418420474    4.319924556    0.1423160262   0.9190928976   7.978424054    2.583776224    0.02394938466  1.758272251    0.8130264804   
64       I1         2.250696324    3.356414946    4.749826419    0.6350235686   0.5517586627   8.751343945    0.2988271394   0.1121178233   1.745369171    1.284692313    
65       I1         1.900518864    2.50588423     3.515108736    0.3908718751   0.02016356509  5.870925088    0.3434920695   0.1437611241   0.7434920231   0.5644408795   
66       I1         2.34120002     3.772903279    4.68562436     0.3419970723   0.3045696348   9.929435802    1.602576732    0.08156963308  1.696272876    1.355069571    
67       I1         1.017740675    3.014512467    4.281611945    0.03765811168  0.4161493205   4.365068302    1.029585083    0.03014774302  0.5519139242   0.9094925894   
68       I1         2.015604476    3.3880327      4.817131835    0.5279734897   0.7502055389   7.03016898     0.2219254966   0.0547689613   1.910672281    1.249332731    
69       I1         1.740563043    3.916633348    4.90382365     0.1946010934   0.1413102393   2.271706462    1.510729246    0.1061822672   1.952196581    1.445611436    
70       I1         2.001021493    3.196216434    4.46315077     0.4496035419   0.2717204916   9.688580275    2.692178152    0.10095694     1.878141402    1.115047703    
71       I1         2.464753117    3.25755696     3.911383996    0.2366521052   0.10346091     9.273599008    2.533277986    0.001623301074 1.015984435    0.695793555    
72       I1         1.487877155    3.028138083    4.204704216    0.4563962076   0.2484786123   3.372111183    2.719180238    0.1229408023   1.257737988    0.5453855126   
73       I1         1.192144908    2.699058015    4.065139219    0.989453186    0.3931840479   6.903781316    0.9252385565   0.09811672409  0.5052317727   1.169470929    
74       I1         2.383075573    3.834027363    4.707193604    0.5852573008   0.842247825    2.571069128    1.105606589    0.04440896626  0.5605676676   0.8249412346   
75       I1         1.662142075    4.434247581    3.728471479    0.5167904168   0.7054546704   8.893932136    1.306434248    0.08654852679  1.021437272    0.3871783365   
76       I1         2.679905971    3.561123879    4.661036285    0.1586357021   0.8500911906   8.703049179    0.6765196184   0.02731091458  0.5918775695   0.9882570928   
77       I1         1.624184373    3.937053065    3.723050679    0.8399888113   0.6084285145   6.175578454    2.175543378    0.1170084979   0.5199187452   0.9357184522   
78       I1         1.367787761    4.340006431    4.876129323    0.1205591682   0.459415704    8.194513123    2.444468115    0.1377489606   1.238552105    0.9306306864   
79       I1         2.318362611    2.623863145    3.756404799    0.7558619954   0.5953864639   2.34359497     2.292399425    0.09348076221  0.7747803096   0.4017137872   
80       I1         1.130485142    3.581341495    4.402770533    0.4149177055   0.2935083771   7.465637508    0.4427522305   0.1176652344   1.410158337    0.4698300744   
81       I1         1.925710618    3.801300663    3.69304384     0.1339867501   0.5185026592   7.822289279    1.702158785    0.02911006152  1.583853717    0.9100079341   
82       I1         2.448286095    3.370824246    3.554562642    0.1448942896   0.7934731076   4.058018758    2.069716827    0.07630263641  1.925835135    1.499283096    
83       I1         1.548020555    4.061261418    4.218159995    0.08187029442  0.8928641198   9.301918015    2.512066875    0.05764192863  1.002523345    0.9209228439   
84       I1         2.081827444    4.409835728    4.906027345    0.6520493137   0.8469582789   7.375963574    2.766775179    0.007754395599 0.5823145343   0.6529553106   
85       I1         1.485629004    2.704478325    4.565531202    0.8439753187   0.2340491312   0.1383557627   1.721335498    0.04555724425  1.903944829    0.9950563368   
86       I1         1.746500615    3.227980779    4.970312518    0.768180211    0.6994658029   9.893005244    1.821818187    0.02977245737  1.443241719    0.9357384824   
87       I1         1.851278613    4.036478649    4.193051593    0.04631572826  0.7329755853   3.831712223    0.9779617414   0.1385494334   1.521871067    0.9575772488   
88       I1         2.570099175    4.334131983    4.838226788    0.3947952275   0.8994223175   5.939641469    1.269511844    0.06816205034  1.958805951    1.61015317     
89       I1         1.785592975    2.74267134     4.230772191    0.6948103972   0.8759965862   7.256774185    0.1614935338   0.06084452873  0.6250996033   0.7173359998   
