%eval_id interface log__t_efold_soil log__t_efold_karst log__t_efold_deep f_exfiltration_soil f_exfiltration_karst PDD_melt_factor log__fdd_threshold snow_insulation_k recession_b_soil neg_kge        
1        I1         2.390483718    3.692617075    4.880159369    0.6465402684   0.871363053    1.010521473    0.7095826756   0.04826357544  4.728849588    0.4174451596   
2        I1         2.115755904    3.020067921    4.739937736    0.3438077843   0.714725534    8.334224322    2.746068637    0.05002195325  1.785855602    0.687043371    
3        I1         1.66579508     2.907100784    3.586580249    0.06244660579  0.2602711335   0.803349096    0.1171709464   0.1039694753   5.768707337    0.8070902037   
4        I1         2.50468192     4.444794709    4.262113436    0.5006140939   0.7991067335   8.935380853    0.7192227618   0.01041320944  5.536001779    0.5231089594   
5        I1         2.515934321    3.851414134    3.99823988     0.7156196559   0.3787398946   3.991173488    1.649026708    0.0135134567   3.95236151     0.4332125571   
6        I1         2.283172998    3.233603688    4.780744053    0.04404286758  0.2239289244   5.162715657    2.928120589    0.07374720535  5.493714771    0.8943892169   
7        I1         1.236901997    2.92345399     3.804527258    0.282446083    0.5788924596   9.199591692    0.8900685746   0.07305031055  4.771898429    0.747116682    
8        I1         1.15525955     3.488369412    3.796296287    0.9795582233   0.9224487796   9.496401716    0.8105398535   0.119433557    4.756157701    1.013046615    
9        I1         2.662053355    4.229627726    3.618422724    0.5638427568   0.1376139005   2.596206367    1.28403948     0.07429449506  3.518304405    0.3760477718   
10       I1         1.302137338    3.78829318     4.343583492    0.2729217598   0.8581902132   6.634035164    1.097941292    0.03348301499  3.659336184    0.702929937    
11       I1         2.631563387    4.17400561     4.646074974    0.8096779854   0.3294683232   6.104156355    2.938218601    0.1070734229   1.614066072    0.6148536382   
12       I1         2.370202853    4.476620445    3.82420574     0.2482968935   0.1952555708   6.763594913    0.6913817737   0.07230983945  2.834203618    0.6828013696   
13       I1         1.372990647    4.279106544    3.521473891    0.05106478175  0.7373991272   7.187073331    2.035511573    0.02605462976  3.252519926    0.7786704706   
14       I1         1.862721522    3.949820751    4.195461208    0.9378834073   0.9170078746   9.935364316    2.099299549    0.0799039971   5.65305641     0.8145335278   
15       I1         2.345442561    2.636536642    4.53924672     0.05397155562  0.4360470655   9.174741589    2.231213606    0.08470807871  2.689564777    0.8431272826   
16       I1         2.511396034    4.025314388    4.726614607    0.9308505921   0.2176088771   6.315550258    1.632950029    0.04458410244  4.068377911    0.4597200183   
17       I1         1.340152146    2.671844913    4.047417947    0.7782062663   0.807958624    6.409110143    0.4844247353   0.08046868171  5.980536988    0.8619434618   
18       I1         1.615453797    2.87970511     4.868518716    0.8873828238   0.8969460614   5.08417707     2.138940596    0.0987405002   2.372179527    0.4123412285   
19       I1         1.792924469    4.189910169    4.977206201    0.6968460319   0.6953665752   9.773474863    1.811241974    0.07271500332  4.38477625     0.4355501565   
20       I1         2.095449208    3.535459893    3.696139804    0.7643935641   0.5056121611   5.787673809    0.3575580936   0.1094651313   4.291858421    0.5022038811   
21       I1         1.535269781    4.040173285    4.459031247    0.5617577824   0.7943040718   3.013930012    1.068326553    0.05984180384  5.336592674    0.673851879    
22       I1         1.975950592    4.150026687    4.097722728    0.127562032    0.6961344583   9.218734886    2.145187741    0.04656691204  4.366813154    0.8394487033   
23       I1         1.944751552    3.520394664    4.424680728    0.9105767505   0.6121861275   5.275197541    0.3920599792   0.1406262523   3.571421125    0.521489372    
24       I1         1.45797065     3.379469036    3.78889101     0.5377850523   0.8014879318   4.934930773    0.3766807604   0.04955140944  1.582967968    0.6846576134   
25       I1         1.013126128    2.933302108    4.137498926    0.4844471541   0.4302886432   5.774861325    1.947517798    0.1293649199   2.511223051    0.6785337803   
26       I1         1.921021649    2.824876514    4.365308257    0.6160442773   0.2576233267   8.449250233    2.073993922    0.05361642155  3.855833875    0.353861664    
27       I1         1.687080142    3.64820331     4.479037366    0.5316747404   0.9830281785   2.631645173    1.900042494    0.1335532432   2.925947458    0.5806684534   
28       I1         2.167821931    3.798781944    3.590844564    0.2749906241   0.5031211313   9.082364385    2.907904564    0.02170608563  3.234699751    0.7778203512   
29       I1         1.130114072    4.382441872    4.775180653    0.7994510876   0.9267890524   2.418285222    1.256549383    0.09909258809  1.936239148    0.6408619087   
30       I1         2.089904313    3.409211214    3.657549695    0.1569038732   0.7468992355   5.451772094    2.391205003    0.03983068847  2.750673602    0.8545159942   
31       I1         1.3501715      2.898175949    4.356626615    0.2863724592   0.5475262182   4.60317251     0.1736406476   0.1277969986   2.111352573    0.6115590175   
32       I1         2.475966423    3.990657858    4.331852453    0.3203010297   0.2156810159   5.385674145    2.603075954    0.07844437726  3.795841712    0.5607445639   
33       I1         1.395714096    2.690692715    3.700436094    0.2257529178   0.279182846    2.946877912    1.735634008    0.002236963628 5.192451638    0.7120980815   
34       I1         1.010710877    3.101491135    3.601796457    0.8970061838   0.8255057529   8.716605469    0.7292408204   0.03699373672  3.102132179    0.8479111301   
35       I1         2.010439953    4.365189906    3.880135308    0.8314936832   0.4617170534   8.264963864    0.01710555688  0.1250446065   5.88448895     0.7208303457   
36       I1         2.499934239    3.589662688    4.595898833    0.7860742005   0.6720925495   8.49266892     1.142120043    0.01927393289  4.25023943     0.3480868647   
37       I1         1.24206557     3.28918967     4.305896388    0.01761344909  0.6802152624   3.506294406    2.942109655    0.03510037557  4.04861745     1.01152188     
38       I1         1.572472806    4.487912498    4.696387178    0.9197970148   0.6360603293   1.845591962    1.457601475    0.07457881763  4.124313087    0.8271477263   
39       I1         2.205239601    4.217247809    3.557321009    0.100521532    0.220584488    2.858188311    0.3349721691   0.1087267717   3.698675296    0.72171706     
40       I1         2.289566797    3.84290054     3.635914016    0.1869733362   0.3632845532   7.15887715     0.4711582756   0.03913402883  3.758485195    0.585511148    
41       I1         1.23030736     4.263533686    4.63927886     0.588488354    0.07942275114  6.895136135    2.461026005    0.03432551924  1.851667209    0.2610394131   
42       I1         2.198235502    2.954449181    3.678082803    0.2228202545   0.6438213597   4.331382158    1.042364317    0.04399668734  2.906111754    0.6196007248   
43       I1         2.451218561    3.172312953    3.893108868    0.1094647061   0.3871736439   7.534625544    1.401817223    0.1312056985   2.72012649     0.9327857072   
44       I1         2.026528753    3.975416801    3.818967023    0.03232881701  0.5424318474   7.027733153    1.179332422    0.0493198283   4.223201616    0.8049880648   
45       I1         2.440831827    3.099470384    4.021335936    0.9063060078   0.05124040972  9.035347113    1.874902371    0.05622920748  5.013937771    0.5798369757   
46       I1         2.328908169    4.144689943    4.813945162    0.4156345467   0.3073840553   2.770534601    1.291651612    0.1020713069   3.395682738    0.2576326103   
47       I1         1.448248883    2.975463035    4.893438814    0.2506824008   0.01337837752  3.745943433    2.809444702    0.01517061853  5.037831576    0.6914297789   
48       I1         2.550647614    3.80899276     4.090689889    0.2294786622   0.964709477    5.318249909    0.1924150184   0.05937264649  3.892796916    0.6816629546   
49       I1         1.419627759    3.084028095    4.998039006    0.9485655461   0.1849948652   7.623043751    1.374682286    0.06480682841  2.545875522    0.6863392866   
50       I1         1.608026369    2.971723814    4.788927283    0.941346387    0.06917312631  6.61131203     2.877065513    0.005450755143 2.890572867    0.5879997109   
51       I1         2.422002096    3.043160622    3.857231003    0.0903694521   0.9751072237   1.905774743    2.300469598    0.1082669805   4.496306924    0.880740843    
52       I1         1.36095806     3.137700111    4.48176922     0.4191608878   0.7065786773   5.484717207    2.088774999    0.1371336349   3.594383741    0.5246770441   
53       I1         1.957981942    2.722733063    3.879697913    0.4360845678   0.8857831008   1.63161365     0.7896408734   0.0184832782   4.894863946    0.6614470207   
54       I1         1.553596247    3.661522358    4.704250596    0.2810816412   0.5846141512   7.407846489    1.221526973    0.1390121954   4.793926818    0.4757094903   
55       I1         1.648138288    3.594813514    3.811379213    0.4631838113   0.836560833    1.779648702    1.195107604    0.004826404837 5.043864839    0.7134877401   
56       I1         2.146335508    2.574738898    4.965629526    0.4439054183   0.182428131    9.006293536    2.45649262     0.1078446289   2.854716323    0.3778168092   
57       I1         1.117570384    4.162871325    4.028535478    0.668142229    0.3700228634   8.569121207    0.06789509667  0.04603715189  5.139667035    0.799328292    
58       I1         2.278140663    3.212217461    4.442445636    0.6022610977   0.8604976298   7.772486148    0.8059031511   0.1116211901   3.600174747    0.4261811364   
59       I1         1.877159204    2.99803649     4.03340084     0.5788593947   0.1177522271   8.158161341    1.768746244    0.04019933409  3.024569319    0.4790295179   
60       I1         1.067752423    2.561105748    4.665197178    0.5748104646   0.6746964876   7.899259404    0.3026195115   0.08116993474  5.721585606    0.6628984223   
61       I1         1.411379407    3.240139305    4.111068327    0.2689075142   0.9684807231   1.177112345    2.880324012    0.03870169607  2.838526214    0.8634171905   
62       I1         1.83489634     4.453329428    3.869249226    0.4686115266   0.7841465648   8.960502068    1.625273246    0.1460048506   2.582206204    0.6903442756   
63       I1         1.388119901    3.418420474    4.319924556    0.1423160262   0.9190928976   7.978424054    2.583776224    0.02394938466  5.274816753    0.8294638243   
64       I1         2.250696324    3.356414946    4.749826419    0.6350235686   0.5517586627   8.751343945    0.2988271394   0.1121178233   5.236107514    0.3889849733   
65       I1         1.900518864    2.50588423     3.515108736    0.3908718751   0.02016356509  5.870925088    0.3434920695   0.1437611241   2.230476069    0.6171658925   
66       I1         2.34120002     3.772903279    4.68562436     0.3419970723   0.3045696348   9.929435802    1.602576732    0.08156963308  5.088818629    0.3263756111   
67       I1         1.017740675    3.014512467    4.281611945    0.03765811168  0.4161493205   4.365068302    1.029585083    0.03014774302  1.655741773    0.7812998924   
68       I1         2.015604476    3.3880327      4.817131835    0.5279734897   0.7502055389   7.03016898     0.2219254966   0.0547689613   5.732016843    0.4623292426   
69       I1         1.740563043    3.916633348    4.90382365     0.1946010934   0.1413102393   2.271706462    1.510729246    0.1061822672   5.856589744    0.5342137275   
70       I1         2.001021493    3.196216434    4.46315077     0.4496035419   0.2717204916   9.688580275    2.692178152    0.10095694     5.634424206    0.3256724879   
71       I1         2.464753117    3.25755696     3.911383996    0.2366521052   0.10346091     9.273599008    2.533277986    0.001623301074 3.047953305    0.5982237161   
72       I1         1.487877155    3.028138083    4.204704216    0.4563962076   0.2484786123   3.372111183    2.719180238    0.1229408023   3.773213965    0.4576465789   
73       I1         1.192144908    2.699058015    4.065139219    0.989453186    0.3931840479   6.903781316    0.9252385565   0.09811672409  1.515695318    0.7846428288   
74       I1         2.383075573    3.834027363    4.707193604    0.5852573008   0.842247825    2.571069128    1.105606589    0.04440896626  1.681703003    0.6391104509   
75       I1         1.662142075    4.434247581    3.728471479    0.5167904168   0.7054546704   8.893932136    1.306434248    0.08654852679  3.064311816    0.5698945702   
76       I1         2.679905971    3.561123879    4.661036285    0.1586357021   0.8500911906   8.703049179    0.6765196184   0.02731091458  1.775632708    0.9166152181   
77       I1         1.624184373    3.937053065    3.723050679    0.8399888113   0.6084285145   6.175578454    2.175543378    0.1170084979   1.559756235    0.5382465825   
78       I1         1.367787761    4.340006431    4.876129323    0.1205591682   0.459415704    8.194513123    2.444468115    0.1377489606   3.715656314    0.7496787602   
79       I1         2.318362611    2.623863145    3.756404799    0.7558619954   0.5953864639   2.34359497     2.292399425    0.09348076221  2.324340929    0.4813203935   
80       I1         1.130485142    3.581341495    4.402770533    0.4149177055   0.2935083771   7.465637508    0.4427522305   0.1176652344   4.230475011    0.5285940725   
81       I1         1.925710618    3.801300663    3.69304384     0.1339867501   0.5185026592   7.822289279    1.702158785    0.02911006152  4.751561151    0.6832481307   
82       I1         2.448286095    3.370824246    3.554562642    0.1448942896   0.7934731076   4.058018758    2.069716827    0.07630263641  5.777505406    0.7179484664   
83       I1         1.548020555    4.061261418    4.218159995    0.08187029442  0.8928641198   9.301918015    2.512066875    0.05764192863  3.007570036    1.04878961     
84       I1         2.081827444    4.409835728    4.906027345    0.6520493137   0.8469582789   7.375963574    2.766775179    0.007754395599 1.746943603    0.4933308637   
85       I1         1.485629004    2.704478325    4.565531202    0.8439753187   0.2340491312   0.1383557627   1.721335498    0.04555724425  5.711834487    0.9428325092   
86       I1         1.746500615    3.227980779    4.970312518    0.768180211    0.6994658029   9.893005244    1.821818187    0.02977245737  4.329725157    0.5574756461   
87       I1         1.851278613    4.036478649    4.193051593    0.04631572826  0.7329755853   3.831712223    0.9779617414   0.1385494334   4.565613201    0.8358923112   
88       I1         2.570099175    4.334131983    4.838226788    0.3947952275   0.8994223175   5.939641469    1.269511844    0.06816205034  5.876417853    0.4398860372   
89       I1         1.785592975    2.74267134     4.230772191    0.6948103972   0.8759965862   7.256774185    0.1614935338   0.06084452873  1.87529881     0.5866164679   
90       I1         1.446126842    3.506979987    4.290803523    0.152770079    0.5611679837   6.440097854    0.4089704549   0.004430687288 3.134395783    0.6104786825   
91       I1         2.231535246    3.038498826    3.836470672    0.7047729654   0.2956648772   5.044471134    0.4321993705   0.141569001    2.550755296    0.477960596    
92       I1         1.5563423      2.940992295    4.984071993    0.9125552918   0.4105007558   2.171727156    0.7715029838   0.07066272143  4.20391391     0.9442292906   
93       I1         1.355868765    4.251213937    3.980459772    0.9575132077   0.1250539843   6.827758737    2.2779584      0.1214438644   5.566216052    0.9580357656   
94       I1         1.980854117    3.735074175    4.719299654    0.6923296241   0.15576903     7.585434032    1.186216058    0.09201611646  4.058260008    0.3709144699   
95       I1         1.214426209    4.068421291    3.717056883    0.4751500174   0.4965381045   7.064042437    1.151288035    0.09488914473  2.496989269    0.6713001644   
96       I1         1.726046435    3.671081187    4.373791143    0.3961759723   0.8820383405   4.630881637    1.46266037     0.1208402955   4.709566936    0.6083262332   
97       I1         2.259430362    3.059449679    3.841652917    0.08532162429  0.7724180491   1.20806615     1.688368233    0.07753047142  1.843611386    0.9939319051   
98       I1         2.104016156    3.55773209     4.070673926    0.7102397642   0.7594634673   1.276621057    1.240942534    0.1325113058   3.836932158    0.5673348561   
99       I1         1.440934608    4.155648467    4.489426441    0.3745234011   0.05784624219  0.9747690129   2.831746868    0.02291575075  5.683319751    0.3436900981   
100      I1         1.136047534    2.805831257    4.018088633    0.9358103204   0.6631821369   2.681876318    2.254110226    0.06963530766  3.683598829    0.8972083992   
101      I1         2.314376697    2.528528489    3.766092763    0.8012678524   0.3380955784   1.544169539    0.7993175579   0.1218032697   2.965042814    0.3945732073   
102      I1         1.336394339    4.112137624    4.257690755    0.1060554789   0.4874712745   4.410688445    0.02520256267  0.04516243601  3.089009506    0.6814671896   
103      I1         1.51928575     2.778420887    3.640499372    0.4984778558   0.5565208168   3.465457878    1.963900448    0.07036596069  4.652189693    0.5657832236   
104      I1         2.484835303    3.361637589    4.673708299    0.9169635703   0.9584592573   3.661604156    0.7512556124   0.1360803958   3.565191934    0.3297191526   
105      I1         2.633004722    3.009794435    3.959565825    0.1911231965   0.4200881004   4.310346469    2.668773302    0.1041556329   2.651376117    0.8841175712   
106      I1         2.174533859    4.24155949     3.605836802    0.8055794563   0.1289259313   0.8712048423   0.5705699155   0.01788190988  3.202221732    0.3870118559   
107      I1         2.164084269    3.825331428    3.743459489    0.6602045533   0.9310201391   3.940408519    2.814000028    0.06275296592  4.350039323    0.5158475965   
108      I1         1.40748976     3.269857454    3.613410887    0.3513967573   0.2087928288   0.275446016    1.672633847    0.1189514087   1.67122712     0.7532208058   
109      I1         2.207471669    3.696095569    4.953433392    0.7479293057   0.6208331469   6.043796498    2.614111344    0.131653252    3.41936099     0.1908917804   
110      I1         1.817992494    3.421298897    3.680934571    0.3476104215   0.9848527638   3.697353834    2.646035071    0.1304707609   2.810328966    0.7241024542   
111      I1         1.841522265    4.097849565    3.854733149    0.8944457742   0.2666295428   0.8342739093   1.74120242     0.005664626123 4.614813773    0.7661535547   
112      I1         1.028558637    4.395976659    4.850708376    0.07736213041  0.2877460165   4.286154237    1.611087785    0.1429483698   2.574460755    0.6530973538   
113      I1         2.673053607    4.299857137    3.731005974    0.5353698492   0.9546232434   5.682692331    0.999927641    0.01648820856  5.291024786    0.4881227223   
114      I1         2.536356129    2.94971948     3.791413702    0.4476728921   0.1985287257   5.877084206    1.599009314    0.1479835051   3.918613877    0.5424126084   
115      I1         1.221286098    3.091747092    4.988116002    0.02088740981  0.6270359666   3.042521913    2.048008909    0.1484094694   4.995490024    0.793009696    
116      I1         1.566175135    2.761778064    4.619123045    0.7772854328   0.8689908005   0.701920532    2.65208089     0.1157870359   5.592213624    0.6923942174   
117      I1         1.274491319    2.646811393    4.541078206    0.9315443773   0.5429176497   3.558779445    1.076951973    0.08062017272  4.523209234    0.9293035145   
118      I1         2.690996676    2.526087611    4.808364715    0.8162194583   0.7193760053   4.45813412     0.2847513248   0.1458428686   2.910538595    0.2341611615   
119      I1         2.568473146    4.137371732    4.712640556    0.7968582963   0.4242836668   4.727184153    0.9601078918   0.0854061307   4.919866786    0.4460851064   
120      I1         1.569678216    3.338107622    4.063307776    0.465210757    0.05394717492  8.370357904    2.154961566    0.03802958748  5.123533749    0.5712734234   
121      I1         2.059382799    3.480112307    4.448286767    0.676848485    0.7659888071   0.5511667692   2.478306973    0.03136666695  2.998852121    0.4311554251   
