%eval_id interface log__t_efold_soil log__t_efold_karst log__t_efold_deep f_exfiltration_soil f_exfiltration_karst PDD_melt_factor log__fdd_threshold snow_insulation_k recession_b_soil neg_kge        
1        I1         2.210538766    3.684543245    4.880159369    0.6465402684   0.871363053    1.010521473    0.7095826756   0.1608785848   4.728849588    0.4296116562   
2        I1         1.971363963    3.005268601    4.739937736    0.3438077843   0.714725534    8.334224322    2.746068637    0.1667398442   1.785855602    0.6710758574   
3        I1         1.579633364    2.891171791    3.586580249    0.06244660579  0.2602711335   0.803349096    0.1171709464   0.3465649176   5.768707337    0.8120732053   
4        I1         2.309958378    4.444242656    4.262113436    0.5006140939   0.7991067335   8.935380853    0.7192227618   0.03471069812  5.536001779    0.5645451267   
5        I1         2.319754585    3.844928276    3.99823988     0.7156196559   0.3787398946   3.991173488    1.649026708    0.04504485567  3.95236151     0.471682171    
6        I1         2.117115316    3.220939725    4.780744053    0.04404286758  0.2239289244   5.162715657    2.928120589    0.2458240178   5.493714771    0.8881206306   
7        I1         1.206244092    2.90768853     3.804527258    0.282446083    0.5788924596   9.199591692    0.8900685746   0.2435010352   4.771898429    0.755041012    
8        I1         1.135167137    3.478253106    3.796296287    0.9795582233   0.9224487796   9.496401716    0.8105398535   0.3981118567   4.756157701    1.016440113    
9        I1         2.446964097    4.226924003    3.618422724    0.5638427568   0.1376139005   2.596206367    1.28403948     0.2476483169   3.518304405    0.4016991257   
10       I1         1.263037212    3.781176112    4.343583492    0.2729217598   0.8581902132   6.634035164    1.097941292    0.11161005     3.659336184    0.7303173394   
11       I1         2.42041989     4.170745666    4.646074974    0.8096779854   0.3294683232   6.104156355    2.938218601    0.3569114096   1.614066072    0.5191986298   
12       I1         2.192882484    4.476386649    3.82420574     0.2482968935   0.1952555708   6.763594913    0.6913817737   0.2410327982   2.834203618    0.7440016553   
13       I1         1.324721269    4.27689761     3.521473891    0.05106478175  0.7373991272   7.187073331    2.035511573    0.08684876587  3.252519926    1.038239734    
14       I1         1.751075207    3.944318959    4.195461208    0.9378834073   0.9170078746   9.935364316    2.099299549    0.266346657    5.65305641     0.8383879885   
15       I1         2.171326465    2.617902008    4.53924672     0.05397155562  0.4360470655   9.174741589    2.231213606    0.2823602624   2.689564777    0.8307527791   
16       I1         2.315803606    4.020567532    4.726614607    0.9308505921   0.2176088771   6.315550258    1.632950029    0.1486136748   4.068377911    0.511758168    
17       I1         1.296132456    2.653563362    4.047417947    0.7782062663   0.807958624    6.409110143    0.4844247353   0.268228939    5.980536988    0.8586280289   
18       I1         1.535806835    2.863502161    4.868518716    0.8873828238   0.8969460614   5.08417707     2.138940596    0.3291350007   2.372179527    0.4436316474   
19       I1         1.690310714    4.186809271    4.977206201    0.6968460319   0.6953665752   9.773474863    1.811241974    0.2423833444   4.38477625     0.4191531715   
20       I1         1.953685192    3.525814492    3.696139804    0.7643935641   0.5056121611   5.787673809    0.3575580936   0.3648837711   4.291858421    0.5342012077   
21       I1         1.465999574    4.035575018    4.459031247    0.5617577824   0.7943040718   3.013930012    1.068326553    0.1994726795   5.336592674    0.6337818187   
22       I1         1.849651104    4.146526954    4.097722728    0.127562032    0.6961344583   9.218734886    2.145187741    0.1552230401   4.366813154    0.924072231    
23       I1         1.822489586    3.510598611    4.424680728    0.9105767505   0.6121861275   5.275197541    0.3920599792   0.4687541744   3.571421125    0.5610953343   
24       I1         1.39870386     3.368263726    3.78889101     0.5377850523   0.8014879318   4.934930773    0.3766807604   0.1651713648   1.582967968    0.7204475943   
25       I1         1.011427453    2.917635129    4.137498926    0.4844471541   0.4302886432   5.774861325    1.947517798    0.4312163996   2.511223051    0.6761346803   
26       I1         1.801830612    2.808125279    4.365308257    0.6160442773   0.2576233267   8.449250233    2.073993922    0.1787214052   3.855833875    0.3644789397   
27       I1         1.598163888    3.639685343    4.479037366    0.5316747404   0.9830281785   2.631645173    1.900042494    0.4451774773   2.925947458    0.5983599438   
28       I1         2.016692034    3.791769763    3.590844564    0.2749906241   0.5031211313   9.082364385    2.907904564    0.07235361875  3.234699751    0.7778075299   
29       I1         1.11327578     4.38126629     4.775180653    0.7994510876   0.9267890524   2.418285222    1.256549383    0.330308627    1.936239148    0.6435641557   
30       I1         1.948857872    3.398303326    3.657549695    0.1569038732   0.7468992355   5.451772094    2.391205003    0.1327689616   2.750673602    0.893628195    
31       I1         1.304855188    2.882157708    4.356626615    0.2863724592   0.5475262182   4.60317251     0.1736406476   0.4259899955   2.111352573    0.6390976838   
32       I1         2.284959003    3.985564437    4.331852453    0.3203010297   0.2156810159   5.385674145    2.603075954    0.2614812575   3.795841712    0.5437422333   
33       I1         1.344504037    2.672599642    3.700436094    0.2257529178   0.279182846    2.946877912    1.735634008    0.007456545425 5.192451638    0.7212865716   
34       I1         1.009324763    3.087506046    3.601796457    0.8970061838   0.8255057529   8.716605469    0.7292408204   0.1233124557   3.102132179    0.8354505724   
35       I1         1.879677136    4.363841805    3.880135308    0.8314936832   0.4617170534   8.264963864    0.01710555688  0.416815355    5.88448895     0.7453434503   
36       I1         2.305825102    3.580559315    4.595898833    0.7860742005   0.6720925495   8.49266892     1.142120043    0.06424644297  4.25023943     0.3885088192   
37       I1         1.210739438    3.277081567    4.305896388    0.01761344909  0.6802152624   3.506294406    2.942109655    0.1170012519   4.04861745     1.011074139    
38       I1         1.49838809     4.487791623    4.696387178    0.9197970148   0.6360603293   1.845591962    1.457601475    0.2485960588   4.124313087    0.8224085629   
39       I1         2.049267417    4.214420287    3.557321009    0.100521532    0.220584488    2.858188311    0.3349721691   0.3624225723   3.698675296    0.7923906081   
40       I1         2.122681682    3.836329545    3.635914016    0.1869733362   0.3632845532   7.15887715     0.4711582756   0.1304467628   3.758485195    0.6959496739   
41       I1         1.200502878    4.261169023    4.63927886     0.588488354    0.07942275114  6.895136135    2.461026005    0.1144183975   1.851667209    0.2474035052   
42       I1         2.043169732    2.938993673    3.678082803    0.2228202545   0.6438213597   4.331382158    1.042364317    0.1466556245   2.906111754    0.7079665941   
43       I1         2.263413806    3.159036083    3.893108868    0.1094647061   0.3871736439   7.534625544    1.401817223    0.4373523284   2.72012649     0.9898440951   
44       I1         1.893683855    3.970170969    3.818967023    0.03232881701  0.5424318474   7.027733153    1.179332422    0.1643994277   4.223201616    0.9451385376   
45       I1         2.254371237    3.085465087    4.021335936    0.9063060078   0.05124040972  9.035347113    1.874902371    0.1874306916   5.013937771    0.6158369618   
46       I1         2.156931817    4.141136842    4.813945162    0.4156345467   0.3073840553   2.770534601    1.291651612    0.3402376898   3.395682738    0.2940094366   
47       I1         1.390240204    2.960217665    4.893438814    0.2506824008   0.01337837752  3.745943433    2.809444702    0.05056872843  5.037831576    0.6981650143   
48       I1         2.34997557     3.802082687    4.090689889    0.2294786622   0.964709477    5.318249909    0.1924150184   0.1979088216   3.892796916    0.7433782016   
49       I1         1.365322991    3.069868376    4.998039006    0.9485655461   0.1849948652   7.623043751    1.374682286    0.2160227614   2.545875522    0.7099769058   
50       I1         1.529340604    2.956441052    4.788927283    0.941346387    0.06917312631  6.61131203     2.877065513    0.01816918381  2.890572867    0.6203039344   
51       I1         2.237978295    3.028592228    3.857231003    0.0903694521   0.9751072237   1.905774743    2.300469598    0.360889935    4.496306924    0.887291192    
52       I1         1.31424584     3.124077112    4.48176922     0.4191608878   0.7065786773   5.484717207    2.088774999    0.4571121163   3.594383741    0.533111815    
53       I1         1.834007808    2.704960394    3.879697913    0.4360845678   0.8857831008   1.63161365     0.7896408734   0.06161092733  4.894863946    0.6853167048   
